0,1,2,3,4,5
-1.09,3.32,-2.94,5.73242,19.79519,39
-3.59,3.56,-6.78,4.86328,-3.6951,39
2.26,-9.36,-4.09,4.96094,-1.05574,39
-1.76,9.6,1.33,5.17578,4.75084,38
8.48,-4.3,-0.44,5.0293,0.79181,38
-1.45,2.77,-3.73,5.05859,1.58361,38
2.63,1.49,3.53,5.08789,2.37542,38
5.37,0.64,-5.92,5.13672,3.6951,38
-0.05,7.1,1.15,5.00977,0.26394,38
-0.78,-4.85,2.06,4.82422,-4.75084,38
-3.53,2.77,-3,4.9707,-0.79181,38
7.63,5.45,6.03,4.94141,-1.58361,38
3.85,-7.59,-2.51,4.87305,-3.43117,38
-2.43,0.76,1.64,4.91211,-2.37542,38
4.7,-9.91,2.49,5.03906,1.05574,38
-2.37,7.04,0.97,5.22461,6.07052,38
4.34,-9.85,8.35,5.05859,1.58361,38
-1.52,3.87,-1.53,5.07812,2.11149,38
3.06,-5.4,-0.44,5.10742,2.90329,38
-0.05,11.37,-1.05,5.07812,2.11149,38
-0.91,-4.36,-4.09,4.92187,-2.11149,38
-1.76,4.3,-5.44,4.89258,-2.90329,38
10.8,-5.58,6.94,4.95117,-1.31968,38
-4.08,9.66,-9.09,4.91211,-2.37542,38
1.53,-8.39,2,4.89258,-2.90329,38
-5.11,6.55,-8.61,4.9707,-0.79181,38
-2.13,-7.72,1.82,5.15625,4.22297,38
-2.43,3.5,1.15,5.03906,1.05574,38
4.95,9.48,1.88,5.07812,2.11149,38
4.09,-10.89,-0.5,5.07812,2.11149,38
1.11,8.69,5.6,5.11719,3.16723,38
-3.83,-4.73,-6.35,4.98047,-0.52787,38
4.22,1.86,1.03,4.83398,-4.48691,38
-0.11,2.77,-3.24,4.96094,-1.05574,38
1.72,-5.52,-0.44,4.91211,-2.37542,38
3.3,5.33,5.66,4.90234,-2.63936,38
-4.56,6.92,-5.07,4.85352,-3.95904,38
-0.54,-3.33,1.94,5.04883,1.31968,38
1.78,4.3,6.76,5.19531,5.27872,38
-1.64,2.89,-2.02,5.04883,1.31968,38
1.59,0.03,-1.29,5.08789,2.37542,38
-1.64,11.61,0.17,5.09766,2.63936,38
-0.97,11.61,-6.84,5.0293,0.79181,38
3.73,-3.02,2.06,4.85352,-3.95904,38
3.61,0.64,10.24,4.9707,-0.79181,38
1.05,2.95,-0.5,4.93164,-1.84755,38
3.06,-9.3,-4.15,4.88281,-3.16723,38
3.61,4.42,-0.86,4.86328,-3.6951,38
-2.49,3.93,-4.52,5.04883,1.31968,38
3.06,-1.25,-1.05,5.18555,5.01478,38
1.9,4.72,6.09,5.06836,1.84755,38
1.78,-5.83,2.74,5.09766,2.63936,38
-0.91,-2.53,5.11,5.13672,3.6951,38
-0.42,5.39,-2.63,5.03906,1.05574,38
1.78,-3.69,1.82,4.86328,-3.6951,38
-0.91,1.98,-4.46,4.9707,-0.79181,38
3.48,0.09,-0.19,4.93164,-1.84755,38
-8.95,4.17,-6.96,4.89258,-2.90329,38
1.17,-4.48,-4.76,4.85352,-3.95904,38
-5.05,-3.02,0.36,5.01953,0.52787,38
6.41,-2.17,7.74,5.20508,5.54265,38
5.5,-8.87,-0.5,5.03906,1.05574,38
-4.38,4.17,-2.57,5.09766,2.63936,38
3.12,-7.35,5.3,5.11719,3.16723,38
-2.61,3.63,-2.87,5.00977,0.26394,38
2.45,6.61,2.55,4.83398,-4.48691,38
