,x-axis,y-axis,z-axis,voltage,current,temperature
0,0.01,-0.74,0.52,2534.18,1847.551,23
1,-1.52,4.01,-0.82,2543.945,2375.422,23
2,-2.86,5.35,-4.48,2539.062,2111.487,23
3,-3.22,4.5,-1.06,2563.477,3431.166,23
4,2.39,2.79,4.97,2563.477,3431.166,23
5,0.56,-1.72,-0.33,2539.062,2111.487,23
6,1.17,-2.33,0.64,2514.648,791.807,23
7,3.18,-6.48,0.7,2563.477,3431.166,23
8,2.81,-3.12,3.2,2539.062,2111.487,23
9,0.98,0.23,2.47,2563.477,3431.166,23
10,-0.97,1.21,-3.81,2539.062,2111.487,23
11,4.52,-4.52,8.08,2553.711,2903.294,23
12,0.19,-1.96,1.38,2548.828,2639.358,23
13,1.71,-0.74,1.13,2543.945,2375.422,23
14,2.2,-5.26,2.96,2558.594,3167.229,23
15,0.5,-3.67,-0.03,2548.828,2639.358,23
16,0.07,-0.8,0.52,2534.18,1847.551,23
17,5.92,-7.94,6.38,2529.297,1583.615,23
18,3.97,-9.04,2.41,2543.945,2375.422,23
19,1.9,-2.45,1.19,2534.18,1847.551,23
20,3.85,-7.21,6.25,2548.828,2639.358,23
21,-0.11,-3.55,-0.64,2548.828,2639.358,23
22,4.82,-5.07,2.35,2548.828,2639.358,23
23,1.78,-5.74,2.47,2543.945,2375.422,23
24,-1.27,-3.55,-1.25,2563.477,3431.166,23
25,2.63,-5.26,2.05,2539.062,2111.487,23
26,0.19,-2.33,2.35,2529.297,1583.615,23
27,-2.31,4.56,-6.86,2529.297,1583.615,23
28,4.34,-5.44,5.89,2568.359,3695.101,23
29,4.64,-4.46,2.41,2543.945,2375.422,23
30,0.98,-1.84,-1.31,2558.594,3167.229,23
31,2.81,-3.61,3.33,2543.945,2375.422,23
32,1.23,-3.24,-1.8,2543.945,2375.422,23
33,1.04,-0.87,-2.16,2548.828,2639.358,23
34,-1.09,7.06,-3.14,2548.828,2639.358,23
35,-1.88,7.49,-1.92,2543.945,2375.422,23
36,-4.57,10.66,-4.3,2543.945,2375.422,23
37,-3.22,12.18,-3.26,2548.828,2639.358,23
38,-4.57,6.94,-4.36,2558.594,3167.229,23
39,-3.16,7.37,-4.9,2543.945,2375.422,23
40,-2.98,8.95,-6.8,2563.477,3431.166,23
41,-3.83,9.26,-0.82,2558.594,3167.229,23
42,-2.74,1.63,-2.47,2548.828,2639.358,23
43,4.09,-4.28,4.18,2543.945,2375.422,23
44,-2.25,3.89,-3.08,2524.414,1319.679,23
45,-2.07,0.96,1.62,2568.359,3695.101,23
46,1.53,-5.26,2.78,2539.062,2111.487,23
47,-0.3,0.29,4,2553.711,2903.294,23
48,1.9,-5.68,2.6,2568.359,3695.101,23
49,3.91,-11.84,1.62,2573.242,3959.037,23
50,6.78,-9.59,7.6,2548.828,2639.358,23
51,1.53,0.84,3.27,2553.711,2903.294,23
52,2.02,-3.85,-0.76,2553.711,2903.294,23
53,-2,4.74,-3.2,2529.297,1583.615,23
54,-4.99,4.99,-4.42,2553.711,2903.294,23
55,-1.7,0.17,-2.22,2553.711,2903.294,23
56,-0.97,2.55,2.84,2543.945,2375.422,23
57,-3.77,6.33,-4.48,2539.062,2111.487,23
58,-1.09,-0.56,-1.86,2534.18,1847.551,23
59,0.43,-4.1,1.07,2543.945,2375.422,23
60,2.57,-5.26,2.66,2568.359,3695.101,23
61,4.58,-8.18,2.47,2548.828,2639.358,23
62,2.69,-3.24,2.05,2534.18,1847.551,23
63,0.19,-0.74,-2.83,2548.828,2639.358,23
64,3.06,-1.84,4.42,2524.414,1319.679,23
65,2.2,-2.63,3.75,2534.18,1847.551,23
66,-2.61,4.07,-1.31,2543.945,2375.422,23
67,0.74,0.11,2.05,2539.062,2111.487,23
68,1.23,-3.67,-2.22,2539.062,2111.487,23
69,2.39,0.05,-0.21,2539.062,2111.487,23
70,-1.15,6.57,-2.59,2548.828,2639.358,23
71,-3.29,5.48,-1.25,2568.359,3695.101,23
72,-1.7,4.5,-1.98,2553.711,2903.294,23
73,1.9,-6.35,5.03,2563.477,3431.166,23
74,1.9,-4.34,3.2,2548.828,2639.358,23
75,2.02,0.66,0.83,2529.297,1583.615,23
76,3.12,-3.61,4.36,2548.828,2639.358,23
77,0.98,2.37,-0.64,2543.945,2375.422,23
78,-2.68,6.27,-2.28,2543.945,2375.422,23
79,0.5,-1.23,-6.49,2548.828,2639.358,23
80,0.92,-2.21,0.4,2543.945,2375.422,23
81,-0.54,-2.88,2.05,2553.711,2903.294,23
82,1.96,-3.98,4,2548.828,2639.358,23
83,3.6,-2.82,4.55,2543.945,2375.422,23
84,1.35,-4.28,-2.34,2534.18,1847.551,23
85,-4.14,6.94,-1.37,2539.062,2111.487,23
86,-1.82,5.11,-0.21,2539.062,2111.487,23
87,-0.54,0.29,1.62,2563.477,3431.166,23
88,2.81,-4.65,1.8,2539.062,2111.487,23
89,2.14,-2.82,0.52,2553.711,2903.294,23
90,-0.91,3.89,-3.87,2553.711,2903.294,23
91,-4.2,2,-3.62,2553.711,2903.294,23
92,-3.04,3.65,-2.53,2539.062,2111.487,23
93,4.34,-9.28,1.68,2553.711,2903.294,23
94,-0.54,-2.88,-1.98,2539.062,2111.487,23
95,1.41,-1.6,0.16,2563.477,3431.166,23
96,-3.41,7.06,-3.5,2543.945,2375.422,23
97,-2.07,2.73,-1.55,2524.414,1319.679,23
98,1.47,-2.7,3.14,2529.297,1583.615,23
99,-0.42,1.02,3.2,2539.062,2111.487,23
100,4.15,-8.73,4.06,2534.18,1847.551,23
101,2.02,-1.17,1.86,2543.945,2375.422,23
102,1.23,-0.32,0.83,2558.594,3167.229,23
103,-3.83,5.96,-3.44,2524.414,1319.679,23
104,-2.13,0.6,-1.8,2543.945,2375.422,23
105,-5.11,6.94,-5.21,2534.18,1847.551,23
106,-0.18,-4.04,2.11,2558.594,3167.229,23
107,4.4,-3.79,5.46,2543.945,2375.422,23
108,2.14,-0.32,1.13,2534.18,1847.551,23
109,-0.72,-1.35,-1.19,2548.828,2639.358,23
110,0.43,4.2,-2.04,2534.18,1847.551,23
111,-3.47,7.61,-5.09,2558.594,3167.229,23
112,-3.29,4.38,-4.97,2534.18,1847.551,23
113,-3.35,7.06,-2.71,2553.711,2903.294,23
114,-1.21,-0.62,-2.1,2524.414,1319.679,23
115,-2.86,3.95,-3.32,2553.711,2903.294,23
