,0
1149,"['6.20', '-9.37', '10.33', '2553.711', '2903.294', '31.00']"
1150,"['4.92', '-6.39', '3.68', '2587.891', '4750.845', '31.00']"
1151,"['2.85', '-3.15', '3.19', '2607.422', '5806.588', '31.00']"
1152,"['8.16', '-13.09', '7.95', '2563.477', '3431.166', '31.00']"
1153,"['5.23', '-4.80', '5.20', '2583.008', '4486.909', '31.00']"
1154,"['1.51', '-4.80', '3.74', '2578.125', '4222.973', '31.00']"
1155,"['8.64', '-10.65', '10.45', '2587.891', '4750.845', '31.00']"
1156,"['6.08', '-9.07', '4.05', '2553.711', '2903.294', '31.00']"
1157,"['2.18', '-0.47', '2.89', '2578.125', '4222.973', '31.00']"
1158,"['3.95', '-9.25', '6.30', '2587.891', '4750.845', '31.00']"
1159,"['4.13', '-4.68', '2.70', '2578.125', '4222.973', '31.00']"
1160,"['4.92', '-7.48', '5.51', '2563.477', '3431.166', '31.00']"
1161,"['4.07', '-5.90', '4.23', '2563.477', '3431.166', '31.00']"
1162,"['5.60', '-8.64', '2.58', '2578.125', '4222.973', '31.00']"
1163,"['5.84', '-16.20', '6.67', '2573.242', '3959.037', '31.00']"
1164,"['1.75', '-2.61', '0.14', '2583.008', '4486.909', '31.00']"
1165,"['5.60', '-7.61', '5.39', '2587.891', '4750.845', '31.00']"
1166,"['4.25', '-9.44', '2.83', '2558.594', '3167.229', '31.00']"
1167,"['1.94', '-5.23', '-0.10', '2578.125', '4222.973', '31.00']"
1168,"['3.46', '-8.83', '2.95', '2578.125', '4222.973', '31.00']"
1169,"['4.01', '-6.33', '1.18', '2583.008', '4486.909', '31.00']"
1170,"['0.23', '-5.41', '1.97', '2563.477', '3431.166', '31.00']"
1171,"['2.18', '-9.56', '1.97', '2568.359', '3695.101', '31.00']"
1172,"['4.62', '-7.55', '-0.77', '2563.477', '3431.166', '31.00']"
1173,"['1.63', '-6.69', '1.06', '2592.773', '5014.780', '31.00']"
1174,"['1.45', '-1.51', '1.55', '2597.656', '5278.716', '31.00']"
1175,"['-4.71', '3.19', '-3.76', '2573.242', '3959.037', '31.00']"
1176,"['-0.01', '-1.26', '-0.47', '2578.125', '4222.973', '31.00']"
1177,"['-0.38', '-2.18', '0.39', '2578.125', '4222.973', '31.00']"
1178,"['2.49', '-2.12', '0.45', '2578.125', '4222.973', '31.00']"
1179,"['2.00', '-4.56', '2.34', '2583.008', '4486.909', '31.00']"
1180,"['1.45', '1.17', '2.89', '2587.891', '4750.845', '31.00']"
1181,"['-1.72', '0.56', '-2.05', '2587.891', '4750.845', '31.00']"
1182,"['-0.26', '-0.96', '1.06', '2568.359', '3695.101', '31.00']"
1183,"['-1.54', '1.05', '0.14', '2592.773', '5014.780', '31.00']"
1184,"['-5.01', '12.33', '-2.05', '2587.891', '4750.845', '31.00']"
1185,"['0.35', '2.21', '0.81', '2597.656', '5278.716', '31.00']"
1186,"['-1.60', '4.65', '2.52', '2578.125', '4222.973', '31.00']"
1187,"['-3.92', '2.58', '-1.20', '2573.242', '3959.037', '31.00']"
1188,"['-1.30', '0.87', '-1.26', '2573.242', '3959.037', '31.00']"
1189,"['-1.17', '1.78', '0.14', '2583.008', '4486.909', '31.00']"
1190,"['-2.82', '4.04', '-1.14', '2558.594', '3167.229', '31.00']"
1191,"['-1.11', '1.97', '-1.87', '2563.477', '3431.166', '31.00']"
1192,"['-1.42', '2.58', '-0.40', '2583.008', '4486.909', '31.00']"
1193,"['-3.37', '0.20', '-3.76', '2587.891', '4750.845', '31.00']"
1194,"['-1.84', '2.88', '-3.39', '2578.125', '4222.973', '31.00']"
1195,"['-2.21', '3.86', '0.27', '2587.891', '4750.845', '31.00']"
1196,"['-0.99', '2.21', '0.02', '2583.008', '4486.909', '31.00']"
1197,"['-1.05', '4.35', '-3.88', '2583.008', '4486.909', '31.00']"
1198,"['-4.59', '9.28', '-5.34', '2583.008', '4486.909', '31.00']"
1199,"['1.39', '1.42', '-0.71', '2578.125', '4222.973', '31.00']"
1200,"['-2.76', '3.25', '-5.59', '2573.242', '3959.037', '31.00']"
1201,"['-1.78', '0.63', '-0.89', '2583.008', '4486.909', '31.00']"
1202,"['-0.38', '1.60', '-0.04', '2578.125', '4222.973', '31.00']"
1203,"['-1.97', '3.92', '-5.10', '2578.125', '4222.973', '31.00']"
1204,"['-1.78', '3.31', '-6.08', '2568.359', '3695.101', '31.00']"
1205,"['-2.51', '2.21', '-4.49', '2592.773', '5014.780', '31.00']"
1206,"['-4.40', '4.47', '-7.66', '2602.539', '5542.652', '31.00']"
1207,"['-5.44', '7.52', '-7.60', '2578.125', '4222.973', '31.00']"
1208,"['-1.23', '3.67', '1.00', '2583.008', '4486.909', '31.00']"
1209,"['-3.00', '6.30', '-4.43', '2568.359', '3695.101', '31.00']"
1210,"['-6.36', '7.70', '-5.65', '2583.008', '4486.909', '31.00']"
1211,"['-5.08', '5.63', '-5.04', '2583.008', '4486.909', '31.00']"
1212,"['-5.08', '4.77', '-6.14', '2612.305', '6070.524', '31.00']"
1213,"['-6.05', '13.92', '-2.97', '2612.305', '6070.524', '31.00']"
1214,"['-2.82', '4.65', '-2.78', '2583.008', '4486.909', '31.00']"
1215,"['-5.75', '10.26', '-6.01', '2578.125', '4222.973', '31.00']"
1216,"['-1.48', '-2.18', '-6.32', '2612.305', '6070.524', '31.00']"
1217,"['-3.00', '5.69', '-4.43', '2583.008', '4486.909', '31.00']"
1218,"['-5.14', '7.45', '-4.67', '2597.656', '5278.716', '31.00']"
1219,"['-3.67', '6.48', '-8.33', '2607.422', '5806.588', '31.00']"
1220,"['-3.12', '7.33', '-2.36', '2578.125', '4222.973', '31.00']"
1221,"['-5.26', '7.94', '-5.95', '2592.773', '5014.780', '31.00']"
1222,"['-5.08', '8.06', '-7.72', '2578.125', '4222.973', '31.00']"
1223,"['-4.40', '6.97', '-6.99', '2583.008', '4486.909', '31.00']"
1224,"['-3.86', '9.41', '-3.51', '2573.242', '3959.037', '31.00']"
1225,"['-4.89', '8.55', '-10.71', '2602.539', '5542.652', '31.00']"
1226,"['-3.73', '8.31', '-4.25', '2592.773', '5014.780', '31.00']"
1227,"['-4.04', '5.99', '-3.64', '2587.891', '4750.845', '31.00']"
1228,"['-6.11', '11.97', '-10.59', '2578.125', '4222.973', '31.00']"
1229,"['-3.73', '7.33', '-1.81', '2573.242', '3959.037', '31.00']"
1230,"['-2.58', '9.35', '-3.76', '2578.125', '4222.973', '31.00']"
1231,"['-8.00', '9.59', '-8.21', '2583.008', '4486.909', '31.00']"
1232,"['-1.23', '4.77', '-1.62', '2592.773', '5014.780', '31.00']"
1233,"['-3.19', '8.74', '-3.09', '2568.359', '3695.101', '31.00']"
1234,"['-3.31', '9.22', '-6.01', '2597.656', '5278.716', '31.00']"
1235,"['-3.12', '4.41', '-3.76', '2568.359', '3695.101', '31.00']"
1236,"['-2.45', '7.03', '-1.38', '2597.656', '5278.716', '31.00']"
1237,"['-4.71', '6.54', '-5.77', '2597.656', '5278.716', '31.00']"
1238,"['-0.32', '2.76', '-1.50', '2578.125', '4222.973', '31.00']"
1239,"['-3.80', '6.11', '-4.25', '2592.773', '5014.780', '31.00']"
1240,"['-2.70', '8.43', '-3.70', '2597.656', '5278.716', '31.00']"
1241,"['-2.94', '8.55', '-4.12', '2558.594', '3167.229', '31.00']"
1242,"['-4.10', '8.31', '-4.25', '2573.242', '3959.037', '31.00']"
1243,"['-5.01', '6.05', '-6.32', '2558.594', '3167.229', '31.00']"
1244,"['-2.45', '5.93', '-1.62', '2587.891', '4750.845', '31.00']"
1245,"['-2.45', '5.50', '-4.55', '2602.539', '5542.652', '31.00']"
1246,"['-3.61', '5.69', '-7.48', '2583.008', '4486.909', '31.00']"
1247,"['-3.25', '8.19', '-3.70', '2568.359', '3695.101', '31.00']"
1248,"['-1.84', '1.78', '-2.23', '2583.008', '4486.909', '31.00']"
1249,"['-6.48', '13.86', '-6.44', '2563.477', '3431.166', '31.00']"
1250,"['-4.34', '8.25', '-4.86', '2578.125', '4222.973', '31.00']"
1251,"['-5.14', '10.56', '-4.80', '2597.656', '5278.716', '31.00']"
1252,"['-4.34', '9.83', '-6.69', '2587.891', '4750.845', '31.00']"
1253,"['-5.08', '7.94', '-3.51', '2578.125', '4222.973', '31.00']"
1254,"['-5.20', '8.31', '-5.89', '2583.008', '4486.909', '31.00']"
1255,"['-4.83', '2.76', '-3.21', '2583.008', '4486.909', '31.00']"
1256,"['-4.34', '8.92', '-5.89', '2592.773', '5014.780', '31.00']"
1257,"['-2.39', '8.55', '-4.80', '2597.656', '5278.716', '31.00']"
1258,"['-4.40', '7.70', '-5.34', '2563.477', '3431.166', '31.00']"
1259,"['-2.09', '1.85', '-3.58', '2583.008', '4486.909', '31.00']"
1260,"['-3.61', '3.00', '-6.32', '2583.008', '4486.909', '31.00']"
1261,"['-4.59', '5.14', '-7.42', '2587.891', '4750.845', '31.00']"
1262,"['-1.90', '3.25', '-3.15', '2592.773', '5014.780', '31.00']"
1263,"['-3.00', '3.43', '-6.93', '2573.242', '3959.037', '31.00']"
1264,"['-4.22', '5.50', '-2.90', '2592.773', '5014.780', '31.00']"
1265,"['-0.26', '-0.78', '0.94', '2592.773', '5014.780', '31.00']"
1266,"['4.13', '-7.06', '4.78', '2597.656', '5278.716', '31.00']"
1267,"['3.58', '-6.02', '1.30', '2607.422', '5806.588', '31.00']"
1268,"['4.56', '-10.05', '3.62', '2583.008', '4486.909', '31.00']"
1269,"['5.96', '-8.64', '9.60', '2583.008', '4486.909', '31.00']"
1270,"['6.45', '-7.73', '6.36', '2563.477', '3431.166', '31.00']"
1271,"['3.34', '-1.14', '3.07', '2578.125', '4222.973', '31.00']"
1272,"['6.75', '-9.01', '8.50', '2583.008', '4486.909', '31.00']"
1273,"['1.88', '-2.73', '4.23', '2587.891', '4750.845', '31.00']"
1274,"['-0.08', '-5.29', '0.20', '2587.891', '4750.845', '31.00']"
1275,"['-5.08', '7.45', '-7.54', '2583.008', '4486.909', '31.00']"
1276,"['2.12', '-1.75', '0.08', '2592.773', '5014.780', '31.00']"
1277,"['-0.50', '3.61', '-0.34', '2578.125', '4222.973', '31.00']"
1278,"['-3.06', '6.36', '-9.80', '2568.359', '3695.101', '31.00']"
1279,"['-4.83', '10.75', '-3.27', '2587.891', '4750.845', '31.00']"
1280,"['-4.95', '7.58', '-5.83', '2587.891', '4750.845', '31.00']"
1281,"['-2.88', '3.31', '-0.89', '2602.539', '5542.652', '31.00']"
1282,"['-2.64', '4.41', '-3.15', '2587.891', '4750.845', '31.00']"
1283,"['-2.33', '2.21', '-4.61', '2573.242', '3959.037', '31.00']"
1284,"['-0.26', '0.44', '0.88', '2583.008', '4486.909', '31.00']"
1285,"['-0.87', '0.69', '0.39', '2578.125', '4222.973', '31.00']"
1286,"['0.23', '0.26', '0.02', '2602.539', '5542.652', '31.00']"
1287,"['0.96', '-1.08', '2.16', '2602.539', '5542.652', '31.00']"
1288,"['-0.14', '-1.45', '0.33', '2578.125', '4222.973', '31.00']"
1289,"['4.44', '-5.17', '2.77', '2587.891', '4750.845', '31.00']"
1290,"['2.12', '-3.89', '0.33', '2568.359', '3695.101', '31.00']"
1291,"['5.23', '-9.56', '3.74', '2583.008', '4486.909', '31.00']"
1292,"['2.00', '-5.05', '2.64', '2597.656', '5278.716', '31.00']"
1293,"['5.23', '-9.98', '1.91', '2573.242', '3959.037', '31.00']"
1294,"['4.07', '-4.98', '3.99', '2563.477', '3431.166', '31.00']"
1295,"['-0.81', '3.31', '-0.65', '2587.891', '4750.845', '31.00']"
1296,"['2.61', '-2.30', '2.28', '2592.773', '5014.780', '31.00']"
1297,"['0.72', '-3.40', '4.66', '2578.125', '4222.973', '31.00']"
1298,"['1.88', '-5.53', '0.45', '2587.891', '4750.845', '31.00']"
1299,"['2.67', '0.14', '3.99', '2578.125', '4222.973', '31.00']"
1300,"['2.24', '-3.89', '1.79', '2578.125', '4222.973', '31.00']"
1301,"['4.25', '1.97', '1.85', '2578.125', '4222.973', '31.00']"
1302,"['-1.11', '-1.08', '1.06', '2592.773', '5014.780', '31.00']"
1303,"['0.17', '1.60', '-1.69', '2578.125', '4222.973', '31.00']"
1304,"['-1.36', '3.31', '-0.47', '2587.891', '4750.845', '31.00']"
1305,"['-0.99', '6.36', '-3.45', '2573.242', '3959.037', '31.00']"
1306,"['-1.66', '6.17', '-3.33', '2597.656', '5278.716', '31.00']"
1307,"['1.51', '-4.13', '0.33', '2602.539', '5542.652', '31.00']"
1308,"['-5.75', '6.60', '-6.14', '2583.008', '4486.909', '31.00']"
1309,"['-2.88', '3.37', '-4.98', '2597.656', '5278.716', '31.00']"
1310,"['-3.73', '7.58', '-3.82', '2592.773', '5014.780', '31.00']"
1311,"['-1.90', '2.52', '-6.87', '2602.539', '5542.652', '31.00']"
1312,"['-2.88', '3.80', '-3.88', '2578.125', '4222.973', '31.00']"
1313,"['-5.87', '7.27', '-9.25', '2573.242', '3959.037', '31.00']"
1314,"['-1.60', '0.93', '-0.89', '2578.125', '4222.973', '31.00']"
1315,"['-0.44', '2.09', '-0.89', '2587.891', '4750.845', '31.00']"
1316,"['1.08', '-8.34', '-4.98', '2607.422', '5806.588', '31.00']"
1317,"['-1.11', '-1.08', '1.67', '2587.891', '4750.845', '31.00']"
1318,"['-0.08', '-7.30', '1.24', '2553.711', '2903.294', '31.00']"
1319,"['6.02', '-5.90', '8.25', '2592.773', '5014.780', '31.00']"
1320,"['5.96', '-6.51', '4.47', '2583.008', '4486.909', '31.00']"
1321,"['3.95', '-2.85', '4.90', '2597.656', '5278.716', '31.00']"
1322,"['5.72', '-9.19', '9.60', '2583.008', '4486.909', '31.00']"
1323,"['1.81', '-3.83', '5.14', '2592.773', '5014.780', '31.00']"
1324,"['-0.50', '0.81', '-0.47', '2597.656', '5278.716', '31.00']"
1325,"['-1.84', '0.50', '-1.87', '2583.008', '4486.909', '31.00']"
1326,"['1.20', '3.67', '-1.20', '2578.125', '4222.973', '31.00']"
1327,"['-0.44', '5.32', '0.51', '2592.773', '5014.780', '31.00']"
1328,"['-3.37', '7.33', '-5.89', '2592.773', '5014.780', '31.00']"
1329,"['-2.94', '6.72', '-2.90', '2587.891', '4750.845', '31.00']"
1330,"['-4.16', '5.38', '-5.47', '2592.773', '5014.780', '31.00']"
1331,"['-3.67', '3.92', '-7.84', '2583.008', '4486.909', '31.00']"
1332,"['-4.10', '3.80', '-6.93', '2578.125', '4222.973', '31.00']"
1333,"['-3.37', '4.04', '-11.32', '2573.242', '3959.037', '31.00']"
1334,"['-3.80', '8.13', '-7.54', '2563.477', '3431.166', '31.00']"
1335,"['-2.03', '4.10', '-4.31', '2563.477', '3431.166', '31.00']"
1336,"['1.02', '-6.94', '-2.90', '2563.477', '3431.166', '31.00']"
1337,"['-0.62', '2.82', '0.27', '2568.359', '3695.101', '31.00']"
1338,"['-1.05', '2.70', '-1.56', '2573.242', '3959.037', '31.00']"
1339,"['-0.87', '-0.35', '7.70', '2573.242', '3959.037', '31.00']"
1340,"['-0.26', '4.35', '1.91', '2573.242', '3959.037', '31.00']"
1341,"['-2.45', '0.08', '0.27', '2568.359', '3695.101', '31.00']"
1342,"['5.72', '-11.69', '11.30', '2578.125', '4222.973', '31.00']"
1343,"['0.17', '-0.78', '3.25', '2583.008', '4486.909', '31.00']"
1344,"['3.83', '-5.84', '4.47', '2573.242', '3959.037', '31.00']"
1345,"['9.13', '-11.87', '10.33', '2602.539', '5542.652', '31.00']"
1346,"['4.13', '-8.70', '3.68', '2573.242', '3959.037', '31.00']"
1347,"['5.47', '-6.26', '4.11', '2568.359', '3695.101', '31.00']"
1348,"['3.70', '-1.26', '4.90', '2548.828', '2639.358', '31.00']"
1349,"['5.23', '-4.86', '3.80', '2573.242', '3959.037', '31.00']"
1350,"['4.31', '-2.00', '7.10', '2597.656', '5278.716', '31.00']"
1351,"['-1.11', '-3.70', '-1.26', '2587.891', '4750.845', '31.00']"
1352,"['2.42', '-2.97', '4.72', '2578.125', '4222.973', '31.00']"
1353,"['2.85', '-5.47', '5.27', '2568.359', '3695.101', '31.00']"
1354,"['0.11', '2.15', '-0.22', '2578.125', '4222.973', '31.00']"
1355,"['3.28', '-2.06', '6.67', '2573.242', '3959.037', '31.00']"
1356,"['0.17', '-3.03', '2.16', '2587.891', '4750.845', '31.00']"
1357,"['-0.75', '0.69', '-2.05', '2592.773', '5014.780', '31.00']"
1358,"['1.57', '-4.25', '1.06', '2568.359', '3695.101', '31.00']"
1359,"['2.42', '-2.79', '-1.01', '2583.008', '4486.909', '31.00']"
1360,"['-2.94', '1.72', '-2.66', '2568.359', '3695.101', '31.00']"
1361,"['2.42', '-2.97', '-1.69', '2583.008', '4486.909', '31.00']"
1362,"['-0.01', '3.25', '0.08', '2573.242', '3959.037', '31.00']"
1363,"['-1.11', '6.36', '-3.45', '2578.125', '4222.973', '31.00']"
1364,"['1.08', '1.72', '-2.78', '2573.242', '3959.037', '31.00']"
1365,"['-3.06', '10.32', '-4.61', '2587.891', '4750.845', '31.00']"
1366,"['1.69', '-1.33', '-0.77', '2578.125', '4222.973', '31.00']"
1367,"['-3.00', '5.81', '-2.90', '2553.711', '2903.294', '31.00']"
1368,"['-5.32', '0.38', '-6.99', '2597.656', '5278.716', '31.00']"
1369,"['-3.31', '8.80', '-4.61', '2592.773', '5014.780', '31.00']"
1370,"['-4.10', '10.08', '-4.80', '2583.008', '4486.909', '31.00']"
1371,"['-1.30', '-0.53', '-4.43', '2587.891', '4750.845', '31.00']"
1372,"['-3.61', '4.77', '-4.86', '2597.656', '5278.716', '31.00']"
1373,"['-4.65', '6.36', '-5.04', '2592.773', '5014.780', '31.00']"
1374,"['-0.32', '-0.84', '-1.62', '2602.539', '5542.652', '31.00']"
1375,"['-3.92', '8.55', '-4.49', '2578.125', '4222.973', '31.00']"
1376,"['-2.82', '3.19', '-4.00', '2568.359', '3695.101', '31.00']"
1377,"['-1.11', '-4.68', '-2.11', '2587.891', '4750.845', '31.00']"
1378,"['-3.06', '3.67', '-3.82', '2578.125', '4222.973', '31.00']"
1379,"['-2.58', '3.25', '-5.10', '2578.125', '4222.973', '31.00']"
1380,"['2.18', '2.70', '3.07', '2568.359', '3695.101', '31.00']"
1381,"['-2.58', '5.99', '-3.88', '2573.242', '3959.037', '31.00']"
1382,"['-1.11', '1.36', '-2.60', '2578.125', '4222.973', '31.00']"
1383,"['-1.90', '1.36', '2.70', '2587.891', '4750.845', '31.00']"
1384,"['-4.53', '8.61', '-4.06', '2578.125', '4222.973', '31.00']"
1385,"['-0.01', '4.47', '1.00', '2568.359', '3695.101', '31.00']"
1386,"['3.16', '-4.44', '4.78', '2583.008', '4486.909', '31.00']"
1387,"['-1.60', '2.82', '-1.32', '2583.008', '4486.909', '31.00']"
1388,"['-0.44', '-0.53', '1.49', '2578.125', '4222.973', '31.00']"
1389,"['1.20', '-1.02', '4.60', '2592.773', '5014.780', '31.00']"
1390,"['0.11', '2.82', '1.42', '2597.656', '5278.716', '31.00']"
1391,"['1.75', '-1.69', '2.89', '2592.773', '5014.780', '31.00']"
1392,"['-0.14', '0.63', '1.61', '2578.125', '4222.973', '31.00']"
1393,"['-0.08', '-3.76', '1.12', '2587.891', '4750.845', '31.00']"
1394,"['2.00', '-5.72', '2.64', '2602.539', '5542.652', '31.00']"
1395,"['2.42', '-6.26', '1.42', '2617.187', '6334.459', '31.00']"
1396,"['3.58', '-7.67', '3.38', '2587.891', '4750.845', '31.00']"
1397,"['4.25', '-5.17', '5.08', '2592.773', '5014.780', '31.00']"
1398,"['-0.38', '-2.18', '-4.92', '2597.656', '5278.716', '31.00']"
1399,"['3.58', '-8.70', '3.31', '2573.242', '3959.037', '31.00']"
1400,"['5.96', '-6.57', '5.94', '2558.594', '3167.229', '31.00']"
1401,"['2.67', '1.24', '1.36', '2578.125', '4222.973', '31.00']"
1402,"['5.60', '-8.64', '6.12', '2583.008', '4486.909', '31.00']"
1403,"['3.34', '-7.00', '4.72', '2587.891', '4750.845', '31.00']"
1404,"['1.88', '-3.58', '2.77', '2578.125', '4222.973', '31.00']"
1405,"['3.40', '-3.15', '3.50', '2573.242', '3959.037', '31.00']"
1406,"['3.28', '-1.57', '3.01', '2592.773', '5014.780', '31.00']"
1407,"['0.72', '-2.97', '3.25', '2568.359', '3695.101', '31.00']"
1408,"['2.06', '-2.18', '3.99', '2597.656', '5278.716', '31.00']"
1409,"['1.51', '-0.84', '-0.28', '2578.125', '4222.973', '31.00']"
1410,"['0.11', '-1.94', '3.99', '2587.891', '4750.845', '31.00']"
1411,"['1.20', '-2.97', '2.22', '2578.125', '4222.973', '31.00']"
1412,"['-3.92', '3.06', '-2.60', '2597.656', '5278.716', '31.00']"
1413,"['1.69', '-2.73', '1.12', '2602.539', '5542.652', '31.00']"
1414,"['1.45', '-1.69', '-0.04', '2587.891', '4750.845', '31.00']"
1415,"['-0.75', '-1.26', '-4.19', '2592.773', '5014.780', '31.00']"
1416,"['2.73', '2.39', '1.79', '2583.008', '4486.909', '31.00']"
1417,"['0.41', '-0.59', '-0.65', '2578.125', '4222.973', '31.00']"
1418,"['2.06', '-2.91', '0.02', '2583.008', '4486.909', '31.00']"
1419,"['1.20', '0.99', '2.10', '2587.891', '4750.845', '31.00']"
1420,"['0.23', '4.16', '-1.81', '2573.242', '3959.037', '31.00']"
1421,"['2.36', '0.69', '2.16', '2578.125', '4222.973', '31.00']"
1422,"['1.33', '0.32', '-2.84', '2578.125', '4222.973', '31.00']"
1423,"['-2.64', '4.47', '-1.32', '2622.070', '6598.395', '31.00']"
1424,"['-2.64', '8.55', '-1.69', '2592.773', '5014.780', '31.00']"
1425,"['0.72', '4.95', '-0.40', '2578.125', '4222.973', '31.00']"
1426,"['-1.60', '4.77', '-5.22', '2578.125', '4222.973', '31.00']"
1427,"['-0.32', '1.54', '3.07', '2568.359', '3695.101', '31.00']"
1428,"['-4.10', '8.49', '-3.15', '2558.594', '3167.229', '31.00']"
1429,"['-4.34', '5.44', '-4.31', '2583.008', '4486.909', '31.00']"
1430,"['-3.49', '3.00', '-1.99', '2607.422', '5806.588', '31.00']"
1431,"['-4.16', '5.69', '-5.65', '2578.125', '4222.973', '31.00']"
1432,"['-3.61', '8.37', '-4.49', '2597.656', '5278.716', '31.00']"
1433,"['-1.30', '8.19', '0.69', '2602.539', '5542.652', '31.00']"
1434,"['-5.08', '6.91', '-6.50', '2612.305', '6070.524', '31.00']"
1435,"['-2.45', '0.93', '-3.21', '2573.242', '3959.037', '31.00']"
1436,"['-2.76', '7.94', '-2.30', '2587.891', '4750.845', '31.00']"
1437,"['-1.11', '0.99', '-4.80', '2587.891', '4750.845', '31.00']"
1438,"['-2.15', '5.20', '-3.76', '2583.008', '4486.909', '31.00']"
1439,"['-0.44', '0.38', '-2.30', '2607.422', '5806.588', '31.00']"
1440,"['-1.23', '3.43', '-5.22', '2587.891', '4750.845', '31.00']"
1441,"['-1.78', '3.98', '-2.23', '2578.125', '4222.973', '31.00']"
1442,"['-3.31', '2.03', '-6.99', '2573.242', '3959.037', '31.00']"
1443,"['-1.30', '5.38', '-2.90', '2587.891', '4750.845', '31.00']"
1444,"['-1.66', '-0.11', '-0.40', '2587.891', '4750.845', '31.00']"
1445,"['-2.45', '9.04', '-1.93', '2583.008', '4486.909', '31.00']"
1446,"['-1.17', '0.93', '-0.59', '2587.891', '4750.845', '31.00']"
1447,"['0.29', '-0.78', '0.88', '2592.773', '5014.780', '31.00']"
1448,"['-3.37', '4.65', '-2.66', '2587.891', '4750.845', '31.00']"
1449,"['-2.58', '2.15', '-0.83', '2592.773', '5014.780', '31.00']"
1450,"['0.90', '-1.81', '2.22', '2597.656', '5278.716', '31.00']"
1451,"['-1.23', '3.55', '-0.47', '2583.008', '4486.909', '31.00']"
1452,"['-0.56', '5.50', '-1.08', '2592.773', '5014.780', '31.00']"
1453,"['-0.38', '-4.62', '1.85', '2583.008', '4486.909', '31.00']"
1454,"['-4.34', '-0.53', '-5.34', '2592.773', '5014.780', '31.00']"
1455,"['-0.87', '0.81', '0.63', '2592.773', '5014.780', '31.00']"
1456,"['-0.69', '0.87', '1.73', '2592.773', '5014.780', '31.00']"
1457,"['4.38', '-3.34', '-1.99', '2583.008', '4486.909', '31.00']"
1458,"['0.96', '-3.46', '2.58', '2583.008', '4486.909', '31.00']"
1459,"['1.69', '-3.34', '2.77', '2587.891', '4750.845', '31.00']"
1460,"['-2.27', '2.64', '-0.95', '2583.008', '4486.909', '31.00']"
1461,"['-0.32', '-0.05', '1.30', '2578.125', '4222.973', '31.00']"
1462,"['1.57', '-5.53', '2.64', '2583.008', '4486.909', '31.00']"
1463,"['1.20', '-7.06', '0.27', '2583.008', '4486.909', '31.00']"
1464,"['1.51', '-3.40', '2.28', '2612.305', '6070.524', '31.00']"
1465,"['1.57', '-3.28', '0.20', '2612.305', '6070.524', '31.00']"
1466,"['1.39', '-6.20', '3.01', '2592.773', '5014.780', '31.00']"
1467,"['2.24', '-7.24', '1.30', '2587.891', '4750.845', '31.00']"
1468,"['2.00', '-6.69', '1.55', '2607.422', '5806.588', '31.00']"
1469,"['0.90', '-3.95', '1.06', '2583.008', '4486.909', '31.00']"
1470,"['-0.69', '-3.70', '-0.40', '2617.187', '6334.459', '31.00']"
1471,"['4.38', '-8.95', '1.97', '2602.539', '5542.652', '31.00']"
1472,"['2.73', '-9.74', '4.72', '2583.008', '4486.909', '31.00']"
1473,"['1.51', '-4.74', '1.18', '2612.305', '6070.524', '31.00']"
1474,"['1.45', '-1.14', '1.79', '2612.305', '6070.524', '31.00']"
1475,"['0.05', '-2.24', '1.73', '2602.539', '5542.652', '31.00']"
1476,"['0.23', '-7.06', '1.79', '2602.539', '5542.652', '31.00']"
1477,"['2.12', '-5.05', '0.14', '2607.422', '5806.588', '31.00']"
1478,"['-0.14', '-6.63', '1.12', '2578.125', '4222.973', '31.00']"
1479,"['3.58', '-3.34', '1.12', '2568.359', '3695.101', '31.00']"
1480,"['1.14', '-6.81', '1.55', '2607.422', '5806.588', '31.00']"
1481,"['2.55', '-6.08', '4.05', '2583.008', '4486.909', '31.00']"
1482,"['5.60', '-11.45', '6.30', '2583.008', '4486.909', '31.00']"
1483,"['1.75', '-11.20', '-2.11', '2573.242', '3959.037', '31.00']"
1484,"['4.01', '-10.05', '3.31', '2578.125', '4222.973', '31.00']"
1485,"['4.07', '-4.19', '3.19', '2583.008', '4486.909', '31.00']"
1486,"['4.86', '-10.65', '1.42', '2587.891', '4750.845', '31.00']"
1487,"['3.95', '-6.69', '3.07', '2573.242', '3959.037', '31.00']"
1488,"['6.39', '-10.90', '8.50', '2578.125', '4222.973', '31.00']"
1489,"['4.62', '-6.45', '0.63', '2592.773', '5014.780', '31.00']"
1490,"['3.40', '-2.00', '4.35', '2573.242', '3959.037', '31.00']"
1491,"['5.05', '-4.74', '6.06', '2583.008', '4486.909', '31.00']"
1492,"['-2.82', '6.54', '-2.90', '2597.656', '5278.716', '31.00']"
1493,"['0.90', '-2.18', '5.08', '2587.891', '4750.845', '31.00']"
1494,"['2.61', '-1.20', '3.07', '2573.242', '3959.037', '31.00']"
1495,"['-0.14', '-1.87', '0.57', '2587.891', '4750.845', '31.00']"
1496,"['1.88', '-0.35', '3.19', '2592.773', '5014.780', '31.00']"
1497,"['1.39', '-0.78', '-1.08', '2626.953', '6862.331', '31.00']"
1498,"['2.49', '-1.20', '-0.16', '2587.891', '4750.845', '31.00']"
1499,"['0.11', '-3.22', '0.63', '2592.773', '5014.780', '31.00']"
1500,"['-0.32', '-1.81', '-3.03', '2578.125', '4222.973', '31.00']"
1501,"['0.60', '-3.46', '1.12', '2597.656', '5278.716', '31.00']"
