,0
83,"['0.29', '1.78', '3.80', '2553.711', '2903.294', '30.00']"
84,"['3.70', '-5.11', '3.74', '2587.891', '4750.845', '30.00']"
85,"['6.02', '-9.13', '6.97', '2597.656', '5278.716', '30.00']"
86,"['-3.80', '2.94', '-3.03', '2583.008', '4486.909', '30.00']"
87,"['-4.53', '3.92', '-6.26', '2583.008', '4486.909', '30.00']"
88,"['-0.14', '6.30', '0.94', '2563.477', '3431.166', '30.00']"
89,"['-0.26', '-0.23', '3.80', '2558.594', '3167.229', '30.00']"
90,"['4.01', '-7.30', '2.83', '2578.125', '4222.973', '30.00']"
91,"['-0.50', '0.69', '0.69', '2578.125', '4222.973', '30.00']"
92,"['-2.33', '0.81', '-1.99', '2583.008', '4486.909', '30.00']"
93,"['-3.49', '7.52', '-4.37', '2558.594', '3167.229', '30.00']"
94,"['2.55', '1.11', '0.45', '2568.359', '3695.101', '30.00']"
95,"['6.14', '-9.07', '9.41', '2592.773', '5014.780', '30.00']"
96,"['0.72', '-3.40', '2.89', '2568.359', '3695.101', '30.00']"
97,"['-8.31', '8.98', '-10.95', '2558.594', '3167.229', '30.00']"
98,"['-3.92', '6.05', '-4.98', '2587.891', '4750.845', '30.00']"
99,"['-1.23', '4.22', '-2.90', '2563.477', '3431.166', '30.00']"
100,"['-1.17', '-0.90', '-3.82', '2607.422', '5806.588', '30.00']"
101,"['4.86', '-8.03', '4.66', '2558.594', '3167.229', '30.00']"
102,"['0.41', '-2.55', '2.10', '2573.242', '3959.037', '30.00']"
103,"['-3.31', '2.15', '-5.71', '2543.945', '2375.422', '30.00']"
104,"['-3.06', '9.16', '-6.44', '2578.125', '4222.973', '30.00']"
105,"['0.90', '0.87', '-1.56', '2563.477', '3431.166', '30.00']"
106,"['4.19', '-2.97', '6.79', '2558.594', '3167.229', '30.00']"
107,"['2.30', '-8.09', '1.36', '2578.125', '4222.973', '30.00']"
108,"['-0.14', '0.44', '2.40', '2578.125', '4222.973', '30.00']"
109,"['-2.64', '4.71', '-0.53', '2548.828', '2639.358', '30.00']"
110,"['-0.69', '1.05', '-2.60', '2568.359', '3695.101', '30.00']"
111,"['1.14', '-3.89', '-0.28', '2553.711', '2903.294', '30.00']"
112,"['6.94', '-6.39', '12.34', '2578.125', '4222.973', '30.00']"
113,"['1.02', '-4.56', '0.69', '2558.594', '3167.229', '30.00']"
114,"['-1.97', '-2.00', '-3.51', '2548.828', '2639.358', '30.00']"
115,"['-0.26', '2.70', '3.99', '2558.594', '3167.229', '30.00']"
116,"['-0.20', '4.10', '-0.89', '2553.711', '2903.294', '30.00']"
117,"['2.18', '-3.09', '4.66', '2543.945', '2375.422', '30.00']"
118,"['5.53', '-7.06', '10.33', '2568.359', '3695.101', '30.00']"
119,"['0.23', '1.24', '2.10', '2558.594', '3167.229', '30.00']"
120,"['-1.60', '4.71', '-3.21', '2543.945', '2375.422', '30.00']"
121,"['-1.42', '6.36', '-2.11', '2573.242', '3959.037', '30.00']"
122,"['2.61', '-2.24', '0.69', '2568.359', '3695.101', '30.00']"
123,"['2.49', '-1.33', '6.49', '2563.477', '3431.166', '30.00']"
124,"['3.16', '-2.18', '1.12', '2578.125', '4222.973', '30.00']"
125,"['-0.50', '5.56', '-2.54', '2548.828', '2639.358', '30.00']"
126,"['-2.94', '2.88', '-5.04', '2558.594', '3167.229', '30.00']"
127,"['-7.15', '5.14', '-13.51', '2568.359', '3695.101', '30.00']"
128,"['0.96', '-5.17', '-1.56', '2548.828', '2639.358', '30.00']"
129,"['0.78', '-2.42', '2.89', '2548.828', '2639.358', '30.00']"
130,"['3.52', '1.36', '5.69', '2553.711', '2903.294', '30.00']"
131,"['3.70', '-6.02', '3.56', '2563.477', '3431.166', '30.00']"
132,"['-0.44', '3.49', '-1.32', '2539.062', '2111.487', '30.00']"
133,"['-1.11', '0.14', '3.92', '2548.828', '2639.358', '30.00']"
134,"['-1.48', '11.66', '-1.69', '2553.711', '2903.294', '30.00']"
135,"['0.05', '1.72', '-2.84', '2548.828', '2639.358', '30.00']"
136,"['-0.32', '2.88', '-4.86', '2563.477', '3431.166', '30.00']"
137,"['4.19', '-9.01', '4.41', '2553.711', '2903.294', '30.00']"
138,"['0.66', '-8.64', '1.73', '2578.125', '4222.973', '30.00']"
139,"['-3.31', '10.81', '-3.64', '2568.359', '3695.101', '30.00']"
140,"['-1.60', '0.38', '-5.34', '2573.242', '3959.037', '30.00']"
141,"['-3.25', '6.60', '-4.43', '2558.594', '3167.229', '30.00']"
142,"['1.08', '-2.73', '2.83', '2558.594', '3167.229', '30.00']"
143,"['0.66', '0.44', '2.28', '2563.477', '3431.166', '30.00']"
144,"['5.35', '-6.57', '5.81', '2534.180', '1847.551', '30.00']"
145,"['6.45', '-10.41', '7.40', '2568.359', '3695.101', '30.00']"
146,"['-5.08', '8.00', '-3.21', '2548.828', '2639.358', '30.00']"
147,"['-4.04', '8.86', '-3.58', '2578.125', '4222.973', '30.00']"
148,"['-0.99', '3.98', '-6.01', '2539.062', '2111.487', '30.00']"
149,"['0.78', '-0.17', '3.13', '2553.711', '2903.294', '30.00']"
150,"['4.38', '-9.13', '1.73', '2534.180', '1847.551', '30.00']"
151,"['-2.94', '4.16', '-5.53', '2578.125', '4222.973', '30.00']"
152,"['-1.90', '3.37', '-3.09', '2563.477', '3431.166', '30.00']"
153,"['-3.55', '4.53', '-5.40', '2563.477', '3431.166', '30.00']"
154,"['-2.94', '5.93', '-6.87', '2563.477', '3431.166', '30.00']"
155,"['1.20', '-2.24', '3.13', '2558.594', '3167.229', '30.00']"
156,"['4.19', '-6.45', '3.50', '2558.594', '3167.229', '30.00']"
157,"['-4.40', '4.22', '-8.09', '2563.477', '3431.166', '30.00']"
158,"['-3.86', '3.19', '-5.47', '2578.125', '4222.973', '30.00']"
159,"['-3.55', '7.39', '-4.31', '2563.477', '3431.166', '30.00']"
160,"['2.30', '-0.65', '2.89', '2568.359', '3695.101', '30.00']"
161,"['3.52', '-3.95', '3.19', '2543.945', '2375.422', '30.00']"
162,"['0.84', '-6.57', '2.22', '2583.008', '4486.909', '30.00']"
163,"['0.84', '-1.51', '3.31', '2563.477', '3431.166', '30.00']"
164,"['-4.59', '6.11', '-2.17', '2563.477', '3431.166', '30.00']"
165,"['0.29', '3.86', '-3.03', '2543.945', '2375.422', '30.00']"
166,"['8.70', '-8.95', '12.89', '2553.711', '2903.294', '30.00']"
167,"['3.89', '-9.68', '1.73', '2553.711', '2903.294', '30.00']"
168,"['-0.81', '4.10', '-0.89', '2568.359', '3695.101', '30.00']"
169,"['0.60', '-2.42', '6.49', '2558.594', '3167.229', '30.00']"
170,"['-1.11', '4.10', '-2.54', '2553.711', '2903.294', '30.00']"
171,"['1.20', '-2.18', '2.40', '2583.008', '4486.909', '30.00']"
172,"['8.10', '-10.11', '12.58', '2558.594', '3167.229', '30.00']"
173,"['-1.42', '0.63', '2.58', '2548.828', '2639.358', '30.00']"
174,"['-1.97', '0.50', '-4.25', '2548.828', '2639.358', '30.00']"
175,"['-0.93', '2.76', '5.39', '2548.828', '2639.358', '30.00']"
176,"['1.69', '-3.40', '-1.32', '2563.477', '3431.166', '30.00']"
177,"['0.60', '-4.50', '4.35', '2563.477', '3431.166', '30.00']"
178,"['3.95', '-7.00', '6.61', '2568.359', '3695.101', '30.00']"
179,"['-1.97', '3.06', '-1.75', '2558.594', '3167.229', '30.00']"
180,"['-3.98', '6.78', '-7.42', '2617.187', '6334.459', '30.00']"
181,"['1.57', '1.05', '2.52', '2563.477', '3431.166', '30.00']"
182,"['3.46', '-4.07', '4.78', '2568.359', '3695.101', '30.00']"
183,"['4.13', '-7.61', '3.86', '2548.828', '2639.358', '30.00']"
184,"['-0.08', '3.92', '1.55', '2543.945', '2375.422', '30.00']"
185,"['-4.16', '2.27', '-5.59', '2558.594', '3167.229', '30.00']"
186,"['0.78', '3.61', '1.24', '2558.594', '3167.229', '30.00']"
187,"['5.11', '-9.25', '7.70', '2563.477', '3431.166', '30.00']"
188,"['2.42', '-5.84', '1.55', '2553.711', '2903.294', '30.00']"
189,"['0.47', '-1.02', '0.75', '2548.828', '2639.358', '30.00']"
190,"['-1.78', '1.60', '-1.14', '2592.773', '5014.780', '30.00']"
191,"['-0.56', '5.81', '-2.17', '2548.828', '2639.358', '30.00']"
192,"['2.49', '-6.39', '3.01', '2563.477', '3431.166', '30.00']"
193,"['3.58', '-5.65', '3.50', '2563.477', '3431.166', '30.00']"
194,"['0.96', '-0.53', '2.03', '2558.594', '3167.229', '30.00']"
195,"['-3.43', '0.93', '-5.83', '2539.062', '2111.487', '30.00']"
196,"['-8.12', '14.59', '-8.76', '2563.477', '3431.166', '30.00']"
197,"['1.63', '-5.05', '-2.60', '2563.477', '3431.166', '30.00']"
198,"['2.18', '-0.84', '1.61', '2568.359', '3695.101', '30.00']"
199,"['-2.21', '3.61', '-4.19', '2558.594', '3167.229', '30.00']"
200,"['0.78', '-0.17', '-2.30', '2573.242', '3959.037', '30.00']"
201,"['-1.78', '3.74', '-3.51', '2543.945', '2375.422', '30.00']"
202,"['-2.33', '4.04', '-10.04', '2553.711', '2903.294', '30.00']"
203,"['1.27', '-2.24', '2.16', '2563.477', '3431.166', '30.00']"
204,"['2.67', '-2.61', '4.96', '2553.711', '2903.294', '30.00']"
205,"['4.80', '-8.83', '6.36', '2592.773', '5014.780', '30.00']"
206,"['-2.64', '5.69', '-1.44', '2563.477', '3431.166', '30.00']"
207,"['-0.44', '1.17', '-3.64', '2558.594', '3167.229', '30.00']"
208,"['-0.14', '1.66', '3.01', '2573.242', '3959.037', '30.00']"
209,"['1.45', '-0.78', '-0.95', '2548.828', '2639.358', '30.00']"
210,"['3.10', '-2.67', '2.95', '2553.711', '2903.294', '30.00']"
211,"['5.29', '-10.05', '6.00', '2563.477', '3431.166', '30.00']"
212,"['-1.11', '4.22', '-0.89', '2568.359', '3695.101', '30.00']"
213,"['0.96', '-0.96', '-0.95', '2548.828', '2639.358', '30.00']"
214,"['-8.31', '10.93', '-10.47', '2573.242', '3959.037', '30.00']"
215,"['0.66', '0.69', '-1.69', '2558.594', '3167.229', '30.00']"
216,"['1.45', '-3.76', '4.35', '2558.594', '3167.229', '30.00']"
217,"['1.69', '-3.76', '-2.48', '2553.711', '2903.294', '30.00']"
218,"['-0.93', '-0.59', '1.67', '2573.242', '3959.037', '30.00']"
219,"['-3.00', '1.72', '-5.47', '2568.359', '3695.101', '30.00']"
220,"['-6.42', '12.27', '-9.37', '2548.828', '2639.358', '30.00']"
221,"['0.23', '-4.44', '-0.16', '2548.828', '2639.358', '30.00']"
222,"['0.60', '-2.30', '3.25', '2558.594', '3167.229', '30.00']"
223,"['3.52', '-5.29', '5.14', '2558.594', '3167.229', '30.00']"
224,"['-1.66', '0.44', '-0.34', '2548.828', '2639.358', '30.00']"
225,"['-0.93', '4.35', '-1.75', '2548.828', '2639.358', '30.00']"
226,"['2.00', '1.11', '5.33', '2568.359', '3695.101', '30.00']"
227,"['0.60', '-0.90', '-0.16', '2563.477', '3431.166', '30.00']"
228,"['1.63', '0.63', '3.62', '2563.477', '3431.166', '30.00']"
229,"['5.84', '-7.55', '10.33', '2558.594', '3167.229', '30.00']"
230,"['-1.23', '-0.84', '0.69', '2548.828', '2639.358', '30.00']"
231,"['-1.42', '0.75', '-3.64', '2568.359', '3695.101', '30.00']"
232,"['-5.93', '4.16', '-8.70', '2583.008', '4486.909', '30.00']"
233,"['0.41', '3.49', '-2.84', '2543.945', '2375.422', '30.00']"
234,"['2.30', '-3.58', '1.30', '2568.359', '3695.101', '30.00']"
235,"['0.84', '-3.34', '-0.83', '2568.359', '3695.101', '30.00']"
236,"['1.45', '-5.23', '0.33', '2543.945', '2375.422', '30.00']"
237,"['-0.93', '5.08', '3.38', '2568.359', '3695.101', '30.00']"
238,"['-1.11', '-0.78', '-0.10', '2548.828', '2639.358', '30.00']"
239,"['-3.67', '8.06', '-4.25', '2583.008', '4486.909', '30.00']"
240,"['-1.30', '4.16', '-2.23', '2543.945', '2375.422', '30.00']"
241,"['4.25', '-5.05', '9.47', '2568.359', '3695.101', '30.00']"
242,"['4.56', '-7.12', '4.41', '2573.242', '3959.037', '30.00']"
243,"['1.63', '-4.01', '1.30', '2573.242', '3959.037', '30.00']"
244,"['-2.15', '6.05', '-3.76', '2587.891', '4750.845', '30.00']"
245,"['-3.73', '6.36', '-5.53', '2558.594', '3167.229', '30.00']"
246,"['-2.45', '5.26', '-3.82', '2558.594', '3167.229', '30.00']"
247,"['-2.88', '2.39', '-4.49', '2568.359', '3695.101', '30.00']"
248,"['6.14', '-4.98', '5.81', '2543.945', '2375.422', '30.00']"
249,"['3.10', '-6.39', '3.31', '2612.305', '6070.524', '30.00']"
250,"['-1.11', '3.37', '-1.50', '2573.242', '3959.037', '30.00']"
251,"['-3.49', '2.58', '-4.49', '2578.125', '4222.973', '30.00']"
252,"['-5.14', '6.97', '-4.92', '2578.125', '4222.973', '30.00']"
253,"['1.81', '1.42', '4.17', '2583.008', '4486.909', '30.00']"
254,"['2.67', '-4.98', '4.17', '2583.008', '4486.909', '30.00']"
255,"['4.92', '-11.39', '4.53', '2558.594', '3167.229', '30.00']"
256,"['0.05', '-2.30', '4.47', '2578.125', '4222.973', '30.00']"
257,"['-1.23', '0.02', '-3.27', '2548.828', '2639.358', '30.00']"
258,"['-4.22', '5.50', '-5.47', '2573.242', '3959.037', '30.00']"
259,"['-4.28', '10.08', '-6.56', '2573.242', '3959.037', '30.00']"
260,"['2.18', '0.69', '1.36', '2568.359', '3695.101', '30.00']"
261,"['1.08', '2.58', '0.33', '2568.359', '3695.101', '30.00']"
262,"['3.46', '-3.95', '7.64', '2573.242', '3959.037', '30.00']"
263,"['3.83', '-10.23', '3.92', '2587.891', '4750.845', '30.00']"
