0,1,2,3,4,5
-9.00,-4.39,-0.93,4.93164,-1.84755,61.00
7.15,10.00,-0.19,5.01953,0.52787,61.00
2.76,-0.97,-4.22,4.96094,-1.05574,61.00
-9.74,-14.51,-1.35,4.92187,-2.11149,61.00
3.98,6.59,-1.72,4.92187,-2.11149,61.00
-0.65,0.55,0.60,4.93164,-1.84755,61.00
-5.47,-9.93,3.34,4.95117,-1.31968,61.00
-6.08,-13.47,4.87,4.94141,-1.58361,61.00
-3.94,2.08,-0.50,4.97070,-0.79181,61.00
5.20,7.81,-1.23,4.92187,-2.11149,61.00
6.55,7.50,0.90,4.98047,-0.52787,61.00
-3.39,-6.58,-0.80,4.96094,-1.05574,61.00
6.79,11.53,0.60,4.97070,-0.79181,61.00
2.22,-2.50,4.14,4.94141,-1.58361,61.00
2.03,6.41,0.05,4.88281,-3.16723,61.00
3.44,7.99,-4.83,4.97070,-0.79181,61.00
1.12,-1.09,-3.00,4.95117,-1.31968,61.00
-4.13,2.50,-3.61,5.00000,0.00000,61.00
5.33,7.75,-2.33,4.97070,-0.79181,61.00
-1.02,-4.39,1.88,4.96094,-1.05574,61.00
4.96,7.20,0.05,4.96094,-1.05574,61.00
7.76,11.71,2.31,4.92187,-2.11149,61.00
8.25,10.74,-3.61,4.91211,-2.37542,61.00
-4.86,-8.65,6.88,4.97070,-0.79181,61.00
-9.25,-2.31,-0.01,5.01953,0.52787,61.00
8.07,6.41,-4.04,4.95117,-1.31968,61.00
9.59,3.79,-0.38,4.96094,-1.05574,61.00
7.83,10.61,1.76,4.97070,-0.79181,61.00
-5.95,-3.78,0.42,4.99023,-0.26394,61.00
-1.87,-4.93,0.48,4.96094,-1.05574,61.00
8.31,14.33,1.51,4.94141,-1.58361,61.00
4.23,2.20,-3.36,4.86328,-3.69510,61.00
0.63,0.74,0.11,4.90234,-2.63936,61.00
0.69,0.61,0.17,4.92187,-2.11149,61.00
0.63,0.43,0.29,4.88281,-3.16723,61.00
0.45,0.68,0.35,4.89258,-2.90329,61.00
0.45,0.92,0.23,4.90234,-2.63936,61.00
5.08,10.13,-2.21,4.88281,-3.16723,61.00
-0.65,1.04,-2.27,4.98047,-0.52787,61.00
3.01,8.30,-0.93,4.94141,-1.58361,61.00
5.20,9.09,0.05,5.00977,0.26394,61.00
5.45,5.43,0.66,4.98047,-0.52787,61.00
4.05,5.37,-1.66,4.91211,-2.37542,61.00
2.03,6.22,-0.50,4.93164,-1.84755,61.00
0.63,3.24,-3.79,5.00000,0.00000,61.00
-3.45,-0.12,-1.05,4.96094,-1.05574,61.00
-7.97,-6.03,0.48,5.00000,0.00000,61.00
-7.60,-1.09,-3.91,5.03906,1.05574,61.00
-7.05,-4.20,-2.51,4.96094,-1.05574,61.00
-6.14,-9.63,1.94,4.98047,-0.52787,61.00
-6.93,-9.87,-2.57,4.95117,-1.31968,61.00
-8.45,-9.93,0.17,4.96094,-1.05574,61.00
-13.88,-7.50,-2.45,4.98047,-0.52787,61.00
7.83,9.94,5.90,5.01953,0.52787,61.00
-3.52,-7.68,5.23,4.95117,-1.31968,61.00
-6.99,1.90,-3.97,4.98047,-0.52787,61.00
7.70,4.70,3.77,4.98047,-0.52787,61.00
8.44,6.90,0.35,4.95117,-1.31968,61.00
