0,1,2,3
0.10,1.91,-4.19,-3.69510
-5.14,-7.24,-5.05,-2.90329
1.81,-3.94,5.81,-2.37542
1.26,11.73,-4.44,-3.69510
-3.37,1.48,-5.60,-3.69510
1.45,-10.47,8.37,-2.90329
6.39,-12.66,3.49,-3.95904
2.67,-1.87,2.21,-2.90329
0.65,4.41,9.04,-2.37542
5.35,6.48,-3.52,-2.11149
-2.21,-8.33,0.62,-1.84755
9.07,-6.63,4.22,-2.90329
-2.58,-5.41,7.15,-3.16723
-2.21,11.85,-0.53,-3.69510
-2.09,-2.36,-3.77,-2.90329
-2.52,-12.36,-2.42,-0.79181
3.09,-1.81,6.72,-3.43117
-0.75,1.60,2.15,-3.43117
1.02,4.78,-0.17,-1.84755
-3.86,-4.61,0.38,-3.16723
0.53,-7.30,4.53,-2.37542
5.41,8.56,-0.05,-3.16723
-4.77,12.40,-4.74,-3.16723
-3.31,-7.48,2.15,-2.37542
-1.48,-4.31,0.01,-3.43117
0.71,5.51,-5.35,-2.90329
-0.93,2.95,-7.97,-3.43117
-3.55,-8.15,-0.29,-1.84755
3.82,-11.87,6.05,-1.84755
1.02,9.65,-0.17,-4.22297
6.02,1.48,4.16,-3.16723
1.02,-13.15,7.70,-3.16723
1.57,-3.88,8.49,-3.16723
2.67,3.80,-2.36,-2.37542
0.29,7.09,-7.00,-2.63936
0.29,-11.50,3.61,-2.90329
2.24,-1.87,-0.41,-3.43117
-0.57,13.56,-4.80,-2.90329
-4.59,5.63,-3.77,-2.63936
0.53,-11.81,2.15,-2.90329
-0.63,-4.55,8.19,-2.11149
1.93,4.04,-2.85,-2.63936
-1.48,9.04,-4.50,-1.84755
-6.36,5.32,-4.44,-2.63936
-0.99,-7.79,-0.41,-2.37542
2.91,-4.86,6.23,-3.95904
-1.85,4.78,-3.52,-2.63936
-0.99,9.41,-4.68,-3.16723
-2.64,11.06,0.14,-3.16723
3.76,4.04,1.11,-2.37542
-0.87,-3.21,2.76,-2.90329
5.04,-11.02,4.65,-3.16723
-0.50,-5.35,8.55,-3.43117
6.08,-2.54,6.90,-2.90329
-0.63,12.46,2.51,-3.69510
-1.11,4.10,-6.33,-2.90329
5.23,-11.38,12.64,-2.63936
8.64,-3.03,12.15,-3.16723
1.81,12.21,-1.14,-3.69510
3.21,8.13,2.15,-2.37542
-2.58,-5.59,1.90,-2.90329
3.40,-8.40,4.04,-3.69510
4.92,8.50,1.30,-2.90329
3.46,-0.53,2.70,-3.43117
2.00,-2.36,12.27,-2.90329
0.78,-4.19,1.17,-2.90329
1.45,-3.15,4.59,-2.90329
4.31,-7.36,9.59,-3.43117
0.53,-6.08,10.87,-3.16723
2.06,-4.74,3.80,-2.90329
5.10,-7.30,15.93,-3.69510
4.13,-5.35,4.77,-2.90329
1.57,-5.53,5.56,-2.37542
-1.11,-10.04,-0.84,-3.16723
-1.85,-3.70,1.97,-3.16723
-1.60,-15.96,0.93,-3.16723
5.47,-8.82,7.03,-2.90329
4.56,-10.96,4.59,-3.16723
4.50,-11.32,4.28,-2.63936
3.82,-4.25,-0.78,-3.16723
-0.81,-9.37,2.64,-3.16723
