,x-axis,y-axis,z-axis,voltage,current,temperature
0,-3.89,7.89,-2.03,2583.008,4486.909,33
1,-0.65,1.79,-0.94,2592.773,5014.78,32
2,0.81,-0.22,1.81,2583.008,4486.909,32
3,-0.17,-0.59,1.93,2573.242,3959.037,32
4,-1.87,6.24,-4.29,2578.125,4222.973,32
5,5.14,-10.04,7.11,2597.656,5278.716,32
6,4.47,-8.21,4.86,2568.359,3695.101,32
7,-2.54,3.68,-0.45,2578.125,4222.973,32
8,1.36,-4.92,-0.81,2592.773,5014.78,32
9,2.76,-5.22,3.45,2583.008,4486.909,32
10,3.31,-5.53,4.73,2597.656,5278.716,32
11,-2.6,4.29,-0.75,2583.008,4486.909,32
12,-4.5,6.61,-5.57,2573.242,3959.037,32
13,1.66,3.25,2.9,2583.008,4486.909,32
14,3.8,-7.54,1.08,2597.656,5278.716,32
15,2.03,2.4,-0.63,2573.242,3959.037,32
16,-4.5,9.05,-3.44,2583.008,4486.909,32
17,-3.89,10.21,-3.68,2583.008,4486.909,32
18,4.65,-5.65,3.33,2587.891,4750.845,32
19,3.68,-2.54,-0.33,2587.891,4750.845,32
20,-3.03,0.57,-5.81,2583.008,4486.909,32
21,-2.36,5.57,-2.1,2587.891,4750.845,32
22,2.58,-0.65,3.09,2587.891,4750.845,32
23,2.64,-4.49,4.55,2626.953,6862.331,33
24,-4.37,4.9,-3.99,2573.242,3959.037,32
25,-5.65,10.57,-4.29,2578.125,4222.973,32
26,5.63,-8.03,2.72,2587.891,4750.845,32
27,0.5,-4.43,0.95,2578.125,4222.973,32
28,-3.15,7.71,-0.75,2583.008,4486.909,32
29,-0.9,2.95,-3.62,2573.242,3959.037,33
30,4.47,-10.83,1.56,2578.125,4222.973,32
31,8.8,-12.6,12.97,2597.656,5278.716,32
32,-2,4.66,-2.46,2578.125,4222.973,32
33,-2.6,2.28,-4.17,2583.008,4486.909,32
34,1.05,-5.1,6.99,2612.305,6070.524,33
35,2.4,-4,4.86,2592.773,5014.78,32
36,1.18,0.63,-1.55,2592.773,5014.78,33
37,-5.23,8.62,-6.36,2592.773,5014.78,32
38,-2,3.86,-0.39,2573.242,3959.037,32
39,7.94,-10.89,5.16,2597.656,5278.716,33
40,0.44,0.33,0.4,2607.422,5806.588,33
41,-6.26,7.71,-5.57,2587.891,4750.845,33
42,0.93,-1.87,2.42,2597.656,5278.716,33
43,3.68,-7.17,-0.88,2617.187,6334.459,33
44,0.38,-2.05,4.73,2583.008,4486.909,33
45,-0.53,3.25,2.6,2597.656,5278.716,32
46,-1.63,-4.79,-7.58,2587.891,4750.845,33
47,-0.17,-3.7,2.3,2607.422,5806.588,33
48,7.52,-10.4,10.22,2587.891,4750.845,33
49,4.29,-6.62,4.37,2578.125,4222.973,33
50,-6.02,6.43,-3.8,2578.125,4222.973,33
51,-2.18,10.51,-7.64,2573.242,3959.037,33
52,5.38,-4.67,4.92,2583.008,4486.909,33
53,2.82,-2.78,1.26,2578.125,4222.973,32
54,-6.2,6.36,-10.75,2597.656,5278.716,33
55,-2.12,5.39,-2.89,2583.008,4486.909,33
56,4.22,-3.33,4.8,2583.008,4486.909,33
57,1.36,-1.62,3.51,2612.305,6070.524,32
58,-2.42,4.84,-1,2592.773,5014.78,33
59,-1.63,2.77,-3.13,2568.359,3695.101,33
60,0.69,1.36,2.17,2568.359,3695.101,32
61,3.86,-5.59,5.22,2587.891,4750.845,33
62,-1.39,2.52,-1.55,2583.008,4486.909,33
