0,1,2,3,4,5
-8.61,-11.86,-1.66,4.97070,-0.79181,34.00
-11.72,-10.64,-1.36,4.98047,-0.52787,34.00
-4.89,-7.59,1.69,4.97070,-0.79181,34.00
9.62,4.79,-1.42,4.92187,-2.11149,34.00
4.99,6.86,6.14,4.90234,-2.63936,34.00
8.40,12.78,-5.14,5.00977,0.26394,34.00
3.40,8.39,0.04,4.89258,-2.90329,34.00
-1.29,8.08,-2.82,4.88281,-3.16723,34.00
-7.75,-6.31,-0.02,4.87305,-3.43117,34.00
-7.57,-10.33,-0.14,4.93164,-1.84755,34.00
-10.86,-15.45,-1.66,4.92187,-2.11149,34.00
0.72,-6.55,0.65,4.94141,-1.58361,34.00
8.89,6.56,-0.50,4.97070,-0.79181,34.00
9.14,16.07,6.93,5.03906,1.05574,34.00
9.56,19.36,-7.03,5.00977,0.26394,34.00
1.94,6.19,-0.08,4.97070,-0.79181,34.00
-10.50,-5.88,-6.66,4.94141,-1.58361,34.00
-11.84,-16.61,0.53,4.92187,-2.11149,34.00
-7.69,-8.56,0.10,4.93164,-1.84755,34.00
1.51,0.83,2.73,4.96094,-1.05574,34.00
8.77,13.69,4.80,4.92187,-2.11149,34.00
6.76,5.77,-1.91,4.96094,-1.05574,34.00
5.11,3.51,3.40,4.95117,-1.31968,34.00
0.60,5.22,-1.11,4.96094,-1.05574,33.00
-9.52,-10.15,-4.65,4.94141,-1.58361,33.00
-6.96,-11.06,0.10,4.97070,-0.79181,33.00
-9.28,-10.45,2.91,4.97070,-0.79181,33.00
2.19,-1.98,-0.99,4.94141,-1.58361,33.00
14.50,10.40,3.89,4.91211,-2.37542,33.00
5.05,13.02,3.46,4.92187,-2.11149,33.00
5.48,4.85,2.00,4.95117,-1.31968,33.00
-2.33,2.60,-4.29,5.00000,0.00000,33.00
-10.13,-9.48,-0.02,4.97070,-0.79181,33.00
-8.97,-9.05,3.03,4.90234,-2.63936,33.00
-1.66,-6.73,4.43,4.95117,-1.31968,33.00
9.99,6.68,-1.24,4.96094,-1.05574,33.00
8.65,17.59,-6.24,4.96094,-1.05574,33.00
2.25,3.33,0.53,4.95117,-1.31968,33.00
-0.31,-0.09,1.81,5.00977,0.26394,33.00
-8.36,-12.28,3.28,5.04883,1.31968,33.00
-4.83,-6.92,-1.05,5.08789,2.37542,33.00
-5.68,-7.28,1.14,5.00000,0.00000,33.00
7.67,2.84,-0.02,4.98047,-0.52787,33.00
7.06,7.11,0.65,5.00000,0.00000,33.00
7.31,11.25,-2.15,4.99023,-0.26394,33.00
3.04,7.78,-9.29,5.04883,1.31968,33.00
-1.05,3.20,-0.20,5.00977,0.26394,33.00
-10.92,-14.05,-0.26,5.07812,2.11149,33.00
-7.27,-12.65,4.86,5.09766,2.63936,33.00
-1.84,-2.89,0.17,5.08789,2.37542,33.00
9.08,8.08,0.90,5.03906,1.05574,33.00
2.49,8.08,2.85,5.05859,1.58361,33.00
6.64,6.38,-3.25,5.05859,1.58361,33.00
2.80,7.72,0.35,5.01953,0.52787,33.00
-3.55,2.11,0.41,5.02930,0.79181,33.00
-7.63,-5.94,-3.68,5.00977,0.26394,33.00
-8.00,-13.01,4.50,5.03906,1.05574,33.00
-6.53,-13.62,-4.22,5.01953,0.52787,33.00
-5.31,-12.65,-0.38,5.03906,1.05574,33.00
-6.84,-3.87,-2.88,5.03906,1.05574,33.00
-1.11,-6.43,-0.99,5.05859,1.58361,33.00
2.31,-1.49,-2.09,5.01953,0.52787,33.00
3.71,-0.51,7.18,5.00977,0.26394,33.00
4.44,10.16,2.85,5.04883,1.31968,34.00
7.98,8.14,-3.31,5.00977,0.26394,34.00
1.82,8.33,-5.87,5.00977,0.26394,34.00
-6.84,-4.48,2.18,5.01953,0.52787,34.00
-7.88,-10.51,-1.30,5.00977,0.26394,34.00
-5.19,-12.40,4.80,5.00977,0.26394,34.00
-8.67,-11.86,-1.11,5.02930,0.79181,34.00
-8.18,-10.33,6.14,4.98047,-0.52787,34.00
-1.90,-6.19,-8.61,5.01953,0.52787,35.00
3.16,-1.43,0.10,4.99023,-0.26394,35.00
8.10,12.96,1.87,4.96094,-1.05574,35.00
10.05,6.56,3.15,4.97070,-0.79181,35.00
2.49,6.68,1.81,4.97070,-0.79181,35.00
-5.99,-5.03,0.59,5.00000,0.00000,35.00
-10.13,-14.29,8.58,4.98047,-0.52787,35.00
2.43,-3.01,-1.79,4.98047,-0.52787,35.00
8.59,12.66,-0.02,4.94141,-1.58361,36.00
4.32,10.34,-1.42,4.95117,-1.31968,36.00
