0,1,2,3,4,5
-0.02,2.59,2.68,4.97070,-0.79181,29.00
-0.39,1.49,3.66,5.00977,0.26394,29.00
-4.41,9.41,0.24,5.00000,0.00000,29.00
-2.52,4.66,-1.65,5.01953,0.52787,29.00
-3.44,-3.21,1.04,5.02930,0.79181,29.00
-1.85,13.01,-1.40,5.00000,0.00000,29.00
-3.62,7.65,-1.52,4.97070,-0.79181,29.00
4.86,9.41,-1.16,4.99023,-0.26394,29.00
0.47,-7.90,-0.91,5.03906,1.05574,29.00
1.01,-4.43,4.63,4.99023,-0.26394,29.00
4.37,-10.83,2.13,5.00977,0.26394,29.00
2.97,-6.99,-1.34,4.95117,-1.31968,29.00
4.00,-10.34,0.43,4.97070,-0.79181,29.00
5.34,-6.56,-4.94,4.97070,-0.79181,29.00
3.76,21.00,8.17,5.00000,0.00000,29.00
-3.68,-2.84,1.59,5.02930,0.79181,29.00
-3.13,7.22,15.37,5.01953,0.52787,29.00
0.22,12.10,19.09,4.99023,-0.26394,29.00
5.71,4.54,25.49,4.98047,-0.52787,29.00
0.65,-4.98,-3.29,4.99023,-0.26394,29.00
1.20,-9.49,-1.16,4.99023,-0.26394,29.00
4.67,-6.74,6.34,4.99023,-0.26394,29.00
1.87,-3.39,-6.52,4.97070,-0.79181,29.00
0.71,0.63,3.96,4.96094,-1.05574,29.00
0.04,5.21,16.16,4.99023,-0.26394,29.00
-3.38,7.77,-7.20,4.94141,-1.58361,29.00
0.16,7.40,5.73,4.99023,-0.26394,29.00
-6.61,11.73,-8.84,4.98047,-0.52787,29.00
1.69,12.46,23.29,4.96094,-1.05574,29.00
-5.63,8.13,-14.45,4.97070,-0.79181,29.00
2.97,-9.00,4.88,4.96094,-1.05574,29.00
2.23,-4.37,-3.84,4.98047,-0.52787,29.00
6.69,-12.78,20.91,4.97070,-0.79181,29.00
7.90,-5.04,33.60,5.01953,0.52787,29.00
1.38,6.06,7.50,4.96094,-1.05574,29.00
-5.33,10.88,0.98,4.96094,-1.05574,29.00
-7.95,11.37,-8.17,5.02930,0.79181,29.00
-3.44,-0.71,-17.50,4.95117,-1.31968,29.00
-5.45,-2.05,-27.38,4.98047,-0.52787,29.00
-4.23,-7.78,-19.57,4.98047,-0.52787,29.00
1.87,-10.95,-12.07,5.02930,0.79181,29.00
1.56,-5.83,7.13,5.00000,0.00000,29.00
2.54,0.63,16.83,4.96094,-1.05574,29.00
