,x-axis,y-axis,z-axis,volatge,current
120,1.26,13.01,-2.07,2485.352,-791.807
121,0.65,-1.68,-1.64,2460.937,-2111.487
122,-0.87,8.62,3.84,2475.586,-1319.679
123,0.65,-7.23,-2.19,2456.055,-2375.422
124,0.29,-2.84,3.23,2460.937,-2111.487
125,1.2,8.56,-6.95,2456.055,-2375.422
126,-1.24,-0.16,4.7,2470.703,-1583.615
127,2.85,-9.55,3.78,2456.055,-2375.422
128,-2.94,16.3,-5.91,2465.82,-1847.551
129,0.59,-13.88,5.31,2446.289,-2903.294
130,-0.81,5.09,-3.11,2465.82,-1847.551
131,1.39,-10.95,2.01,2446.289,-2903.294
132,0.05,0.63,-1.64,2465.82,-1847.551
133,0.84,2.83,0.25,2431.641,-3695.101
134,-3.43,4.9,0.25,2470.703,-1583.615
135,3.09,-9.98,2.44,2446.289,-2903.294
136,-1.48,5.63,-2.68,2475.586,-1319.679
137,-0.02,-6.01,1.77,2456.055,-2375.422
138,-1.11,5.09,-2.68,2465.82,-1847.551
139,-0.2,-2.48,-0.24,2441.406,-3167.229
140,-3.13,6.18,-2.92,2470.703,-1583.615
141,0.84,-6.74,2.75,2456.055,-2375.422
142,-0.99,0.82,-2.74,2436.523,-3431.166
143,1.14,3.68,0.92,2441.406,-3167.229
144,-2.33,4.72,0.37,2465.82,-1847.551
145,0.47,-1.32,4.09,2436.523,-3431.166
146,-0.2,3.44,-2.25,2451.172,-2639.358
147,0.23,-3.63,0.86,2460.937,-2111.487
148,-0.26,-0.65,-2.07,2465.82,-1847.551
149,0.59,2.77,2.81,2456.055,-2375.422
150,-0.69,-0.4,-0.85,2456.055,-2375.422
151,-0.99,0.94,1.83,2446.289,-2903.294
152,-2.52,5.15,-1.28,2465.82,-1847.551
153,0.29,-2.05,1.95,2446.289,-2903.294
154,-1.17,-0.28,-1.22,2446.289,-2903.294
155,-1.6,-1.68,3.48,2456.055,-2375.422
156,-0.99,4.41,-4.88,2441.406,-3167.229
157,0.29,-4.91,2.01,2451.172,-2639.358
158,-1.72,2.34,-1.52,2436.523,-3431.166
159,2.12,-6.13,3.11,2460.937,-2111.487
160,-1.11,2.46,-3.9,2441.406,-3167.229
161,-0.14,-3.45,1.28,2460.937,-2111.487
162,-2.15,1.79,-6.03,2456.055,-2375.422
163,2.79,-2.66,3.66,2470.703,-1583.615
164,-0.32,2.4,-1.46,2441.406,-3167.229
165,0.29,-4.91,0.31,2451.172,-2639.358
166,-2.03,-1.01,-1.4,2431.641,-3695.101
167,0.29,1.61,0.25,2456.055,-2375.422
168,-2.33,4.05,-5.36,2441.406,-3167.229
169,2.12,-7.17,4.39,2456.055,-2375.422
170,0.05,4.9,-4.63,2441.406,-3167.229
171,0.53,-8.45,0,2456.055,-2375.422
172,0.23,-2.6,-4.08,2436.523,-3431.166
173,2.55,-1.44,4.27,2451.172,-2639.358
174,-1.17,1.79,-5.61,2431.641,-3695.101
175,1.81,-6.07,1.04,2446.289,-2903.294
176,-2.76,3.68,-2.07,2446.289,-2903.294
177,0.59,-7.96,2.08,2456.055,-2375.422
178,1.26,2.65,-1.34,2451.172,-2639.358
179,1.14,3.01,2.99,2446.289,-2903.294
180,-1.11,-0.65,-2.19,2441.406,-3167.229
181,1.2,-2.6,2.14,2446.289,-2903.294
182,-2.15,2.71,-0.24,2446.289,-2903.294
183,1.51,1.73,0.31,2470.703,-1583.615
184,-2.21,6.61,-0.24,2446.289,-2903.294
185,2.48,3.5,4.27,2460.937,-2111.487
186,-0.75,4.11,-4.75,2456.055,-2375.422
187,2.3,4.9,1.95,2456.055,-2375.422
188,-0.38,11.06,-5.67,2456.055,-2375.422
189,4.07,-9.98,8.66,2470.703,-1583.615
190,-0.44,10.88,-5,2451.172,-2639.358
191,0.84,-7.54,2.62,2470.703,-1583.615
192,1.45,1.55,5.19,2446.289,-2903.294
193,0.84,-0.71,-2.19,2456.055,-2375.422
194,-0.63,-4.79,2.99,2441.406,-3167.229
195,4.19,-3.21,-0.3,2460.937,-2111.487
196,-1.17,3.13,-1.34,2436.523,-3431.166
197,1.33,-11.99,4.33,2441.406,-3167.229
198,-2.58,-1.87,-4.33,2451.172,-2639.358
199,1.57,-3.82,5.25,2460.937,-2111.487
200,-2.76,11.79,-8.84,2446.289,-2903.294
201,3.64,-11.26,2.75,2475.586,-1319.679
202,-1.78,10.02,-5,2456.055,-2375.422
203,0.65,-5.22,1.47,2456.055,-2375.422
204,-1.05,8.5,-2.62,2421.875,-4222.973
205,1.39,0.09,-4.27,2465.82,-1847.551
206,-4.16,2.95,-0.36,2451.172,-2639.358
207,2.12,-1.32,3.97,2460.937,-2111.487
208,-2.52,12.77,-5.79,2436.523,-3431.166
209,0.05,-6.87,4.51,2456.055,-2375.422
210,0.17,7.65,-0.42,2436.523,-3431.166
211,1.26,-1.32,-0.97,2441.406,-3167.229
212,-1.6,-7.78,3.42,2456.055,-2375.422
213,2.67,-9.67,-1.1,2451.172,-2639.358
214,-2.03,8.5,-0.91,2456.055,-2375.422
215,2.79,-7.84,-0.67,2426.758,-3959.037
216,-2.58,13.01,0.55,2456.055,-2375.422
217,2.12,-15.04,-3.41,2446.289,-2903.294
218,-1.66,10.45,-0.85,2441.406,-3167.229
219,2.55,-15.46,-1.77,2446.289,-2903.294
220,-2.7,12.4,1.77,2441.406,-3167.229
221,1.69,-11.87,-1.28,2456.055,-2375.422
222,-2.88,12.71,0.61,2451.172,-2639.358
223,-1.42,-9.61,-3.17,2451.172,-2639.358
224,-1.11,8.93,2.2,2431.641,-3695.101
225,-1.3,-7.66,-0.73,2441.406,-3167.229
226,2.42,4.84,1.95,2451.172,-2639.358
227,-2.64,-6.44,-2.19,2460.937,-2111.487
228,2.79,5.33,1.65,2426.758,-3959.037
229,-1.85,-2.35,-1.22,2446.289,-2903.294
230,3.58,-2.17,0.31,2446.289,-2903.294
231,-3.55,3.68,-1.46,2436.523,-3431.166
232,3.15,-1.87,0.49,2431.641,-3695.101
233,-2.45,2.1,-3.84,2446.289,-2903.294
234,3.22,-4.3,4.88,2460.937,-2111.487
235,-3.49,4.66,-3.17,2446.289,-2903.294
236,3.76,-3.7,1.71,2465.82,-1847.551
237,-1.72,4.29,-1.83,2426.758,-3959.037
238,0.35,-1.01,0.8,2446.289,-2903.294
239,-2.76,2.95,-2.92,2431.641,-3695.101
240,1.02,-3.33,0.55,2465.82,-1847.551
241,-4.28,4.05,-3.78,2441.406,-3167.229
242,3.52,-0.59,0.06,2470.703,-1583.615
243,-0.99,2.89,-2.86,2451.172,-2639.358
244,2.3,-2.6,2.69,2475.586,-1319.679
245,-2.7,1.49,-5.06,2460.937,-2111.487
246,1.02,-0.22,1.04,2470.703,-1583.615
247,-1.36,5.33,-2.07,2470.703,-1583.615
248,2.61,-0.95,1.28,2465.82,-1847.551
249,-0.87,-1.26,-1.64,2465.82,-1847.551
250,1.45,0.02,3.36,2456.055,-2375.422
251,-2.82,1,-6.1,2451.172,-2639.358
252,1.69,-5.46,0.92,2470.703,-1583.615
253,-1.24,4.78,-1.28,2451.172,-2639.358
254,0.53,-4.79,3.05,2480.469,-1055.743
255,-1.42,0.76,-2.07,2456.055,-2375.422
256,0.65,3.5,0,2460.937,-2111.487
257,0.05,-1.68,-1.7,2446.289,-2903.294
258,2.97,-4.24,3.84,2441.406,-3167.229
259,-3.98,4.17,0,2431.641,-3695.101
260,1.57,-1.38,2.69,2451.172,-2639.358
261,0.78,-3.88,-4.02,2446.289,-2903.294
262,-0.2,-2.11,2.99,2446.289,-2903.294
263,-1.24,6,-2.99,2436.523,-3431.166
264,4.19,-16.13,8.11,2451.172,-2639.358
265,-1.78,7.59,-9.27,2460.937,-2111.487
266,2.36,-9.06,4.45,2436.523,-3431.166
267,3.22,-5.83,3.17,2460.937,-2111.487
268,1.51,3.99,-6.4,2451.172,-2639.358
269,0.47,-4.43,5.67,2465.82,-1847.551
270,4.5,5.33,-0.73,2460.937,-2111.487
271,-2.58,3.2,-3.29,2456.055,-2375.422
272,4.25,-7.96,5.73,2460.937,-2111.487
273,-2.82,10.51,-6.03,2446.289,-2903.294
274,3.7,-10.71,9.58,2456.055,-2375.422
275,-1.66,8.32,-5.36,2441.406,-3167.229
276,-0.56,-20.77,5.92,2470.703,-1583.615
277,-0.32,11.98,-3.78,2465.82,-1847.551
278,3.09,-8.09,2.56,2470.703,-1583.615
279,-0.69,3.38,-1.46,2460.937,-2111.487
280,1.02,1.73,-0.85,2436.523,-3431.166
281,-2.82,-9.73,1.65,2446.289,-2903.294
282,4.13,1.73,-0.85,2465.82,-1847.551
283,-1.85,-5.1,-1.77,2456.055,-2375.422
284,2.24,-8.94,4.45,2441.406,-3167.229
285,-2.15,6.85,-1.4,2460.937,-2111.487
286,1.87,-3.88,3.05,2451.172,-2639.358
287,-0.81,3.07,-2.19,2456.055,-2375.422
288,2.85,2.65,0.67,2441.406,-3167.229
289,-2.58,1.43,-1.52,2436.523,-3431.166
290,2.91,3.8,0.37,2460.937,-2111.487
291,-1.6,-1.8,-0.67,2451.172,-2639.358
292,2,2.52,2.44,2470.703,-1583.615
293,-2.03,1.06,-1.4,2465.82,-1847.551
294,3.22,-3.45,1.4,2446.289,-2903.294
295,-3.43,4.41,-1.64,2456.055,-2375.422
296,3.46,-0.71,-0.24,2465.82,-1847.551
297,-2.52,-4.49,-4.2,2446.289,-2903.294
298,2.67,2.34,3.54,2441.406,-3167.229
299,-1.24,-5.46,-2.56,2431.641,-3695.101
300,0.47,6.12,2.44,2431.641,-3695.101
301,-2.45,-8.7,-2.62,2460.937,-2111.487
302,4.25,0.09,2.5,2436.523,-3431.166
