,x-axis,y-axis,z-axis,voltage,current,temperature
1005,3.19,-6.59,2.85,2597.656,5278.716,32
1006,-0.47,5.12,-0.81,2626.953,6862.331,32
1007,-9.92,13.96,-12.21,2597.656,5278.716,32
1008,-1.2,6.09,0.77,2612.305,6070.524,32
1009,6.54,-6.16,5.16,2578.125,4222.973,32
1010,1.3,0.24,-1.85,2602.539,5542.652,32
1011,-1.39,5.42,-1.79,2602.539,5542.652,32
1012,-0.84,4.02,-3.56,2583.008,4486.909,32
1013,-0.1,-1.83,-1.85,2602.539,5542.652,32
1014,3.86,-2.75,6.14,2602.539,5542.652,32
1015,1.54,0.85,0.47,2602.539,5542.652,32
1016,-2.18,1.83,-4.1,2602.539,5542.652,32
1017,-1.87,1.28,-5.02,2587.891,4750.845,32
1018,-0.29,0.3,1.93,2622.07,6598.395,32
1019,2.82,-2.99,1.14,2592.773,5014.78,32
1020,0.87,-1.95,0.9,2612.305,6070.524,32
1021,-4.62,7.56,-2.28,2597.656,5278.716,32
1022,-3.09,3.23,-6.91,2592.773,5014.78,32
1023,-0.47,2.8,-1.97,2612.305,6070.524,32
1024,3,-7.38,5.16,2607.422,5806.588,32
1025,2.64,-2.26,3.21,2602.539,5542.652,32
1026,-2.67,4.75,-4.29,2597.656,5278.716,32
1027,-3.82,6.4,-5.63,2597.656,5278.716,32
1028,-2.42,5,-0.45,2597.656,5278.716,32
1029,3.13,-6.71,4.49,2612.305,6070.524,32
1030,3.37,-10.67,1.93,2587.891,4750.845,32
1031,6.48,-8.97,10.35,2602.539,5542.652,32
1032,-1.39,4.39,-3.31,2597.656,5278.716,32
1033,-8.64,9.63,-14.41,2617.187,6334.459,32
1034,0.08,0.73,4.25,2607.422,5806.588,32
1035,5.93,-6.77,4.68,2597.656,5278.716,32
1036,-0.59,1.95,-4.17,2612.305,6070.524,32
1037,-2.73,7.37,-1,2583.008,4486.909,32
1038,-3.95,3.84,-4.78,2597.656,5278.716,32
1039,-5.71,4.94,-8.92,2602.539,5542.652,32
1040,5.26,-10.55,5.1,2583.008,4486.909,32
1041,0.57,-4.21,4.07,2597.656,5278.716,32
1042,-6.87,10.36,-11.67,2622.07,6598.395,32
1043,-2.73,4.2,-5.2,2607.422,5806.588,32
1044,3.19,-1.89,0.35,2607.422,5806.588,32
1045,4.29,-2.08,0.16,2573.242,3959.037,32
1046,2.09,-4.21,3.03,2592.773,5014.78,32
1047,-3.28,1.22,-0.45,2602.539,5542.652,32
1048,-2.06,3.72,-5.75,2587.891,4750.845,32
1049,0.81,-3.11,2.42,2602.539,5542.652,32
1050,4.71,-3.66,7.24,2583.008,4486.909,32
1051,0.44,2.07,-4.17,2592.773,5014.78,32
1052,-3.76,9.26,-3.07,2597.656,5278.716,32
1053,-3.82,8.05,0.29,2617.187,6334.459,32
1054,2.33,-4.21,-0.69,2583.008,4486.909,32
1055,5.08,-1.22,8.03,2568.359,3695.101,32
1056,-0.65,6.52,1.99,2617.187,6334.459,32
1057,-6.75,4.26,-6.3,2602.539,5542.652,32
1058,-0.84,1.64,-2.21,2607.422,5806.588,32
1059,9.04,-10.31,8.82,2607.422,5806.588,32
1060,5.81,-2.2,9.31,2592.773,5014.78,32
1061,-2,5.18,-1.36,2568.359,3695.101,32
1062,-2.91,4.81,-1.18,2597.656,5278.716,32
1063,-1.93,1.28,-0.32,2578.125,4222.973,32
1064,4.59,-4.76,5.41,2583.008,4486.909,32
1065,-2.24,1.7,0.83,2602.539,5542.652,32
1066,-4.5,5.42,-3.13,2592.773,5014.78,32
1067,-2.12,4.75,-6.12,2592.773,5014.78,32
1068,1.6,-0.31,0.83,2592.773,5014.78,32
1069,3.07,-1.41,4.37,2573.242,3959.037,32
1070,-2.48,2.62,-2.64,2587.891,4750.845,32
