x-axis,y-axis,z-axis,voltage,current,temp
1.31,1.44,0.43,5.15625,4.22297,24
-2.04,8.63,-3.9,5.09766,2.63936,24
-4.05,7.9,-7.19,5.14648,3.95904,24
3.69,-1,6.9,5.14648,3.95904,24
0.15,-4.3,4.76,5.11719,3.16723,24
-0.39,-0.27,-0.54,5.15625,4.22297,24
-3.63,9.3,-3.65,5.15625,4.22297,24
-0.39,0.03,-0.36,5.08789,2.37542,24
2.23,-2.4,5.68,5.08789,2.37542,24
0.58,-7.53,1.35,5.10742,2.90329,24
3.14,-15.09,-1.58,5.14648,3.95904,24
-1.61,6.99,-1.03,5.13672,3.6951,24
-4.97,11.07,-5.06,5.14648,3.95904,24
2.65,-3.01,2.57,5.08789,2.37542,24
3.02,-12.4,2.93,5.15625,4.22297,24
-0.58,5.95,4.4,5.11719,3.16723,24
-3.69,13.88,-3.23,5.07812,2.11149,24
-4.36,7.17,-9.32,5.11719,3.16723,24
1.37,4.12,1.65,5.13672,3.6951,24
3.45,-1.55,1.16,5.08789,2.37542,24
3.69,-5.33,3.97,5.16602,4.48691,24
-3.5,7.6,-4.69,5.11719,3.16723,24
-1.25,4.49,2.2,5.12695,3.43117,24
-2.77,1.62,-1.4,5.11719,3.16723,24
1.01,-8.08,2.63,5.14648,3.95904,24
6.25,-10.39,6.96,5.08789,2.37542,24
-0.64,8.08,-2.13,5.11719,3.16723,24
-3.02,7.05,-2.07,5.13672,3.6951,24
-0.27,0.4,-1.58,5.12695,3.43117,24
-0.27,-0.39,-2.31,5.11719,3.16723,24
1.01,-2.65,0.86,5.11719,3.16723,24
4.48,-3.62,4.21,5.08789,2.37542,24
-0.27,5.22,-4.63,5.08789,2.37542,24
-6,10.52,-4.63,5.14648,3.95904,24
0.64,0.89,-4.93,5.10742,2.90329,24
3.45,-2.04,4.27,5.09766,2.63936,24
4.67,-2.77,8.54,5.13672,3.6951,24
0.64,5.34,-1.15,5.15625,4.22297,24
-5.64,5.46,-1.52,5.11719,3.16723,24
-3.81,5.16,-2.8,5.10742,2.90329,24
2.11,-1.12,2.69,5.10742,2.90329,24
4.06,-10.58,12.87,5.12695,3.43117,24
1.31,-4.48,-2.01,5.12695,3.43117,24
3.2,-11.67,2.75,5.14648,3.95904,24
-0.39,8.45,1.96,5.11719,3.16723,24
-1.61,2.17,3.79,5.14648,3.95904,24
3.81,-11.06,5.68,5.15625,4.22297,24
2.96,-7.16,2.75,5.10742,2.90329,24
-0.03,0.64,-0.6,5.15625,4.22297,24
-6.25,6.99,-8.59,5.17578,4.75084,24
-8.26,13.57,-8.04,5.14648,3.95904,24
0.76,5.28,0.37,5.13672,3.6951,24
3.08,-2.59,3.42,5.12695,3.43117,24
-0.58,8.63,1.53,5.09766,2.63936,24
-2.41,6.8,-2.5,5.20508,5.54265,24
-2.1,7.17,-2.07,5.10742,2.90329,24
2.11,-5.15,-0.24,5.15625,4.22297,24
5.03,-8.87,3.91,5.10742,2.90329,24
3.81,-7.83,6.71,5.12695,3.43117,24
-0.82,4.91,-1.89,5.14648,3.95904,24
-3.44,1.19,-2.8,5.14648,3.95904,24
-0.15,-1.25,-3.78,5.17578,4.75084,24
3.69,-7.22,4.09,5.17578,4.75084,24
3.63,-10.03,2.2,5.18555,5.01478,24
-4.48,4.49,-3.96,5.16602,4.48691,24
-1.92,7.66,-7.43,5.19531,5.27872,24
-1,3.88,-4.63,5.16602,4.48691,24
1.07,-3.75,4.88,5.15625,4.22297,24
10.03,-16.49,9.09,5.14648,3.95904,24
-3.14,8.94,1.65,5.16602,4.48691,24
-2.83,3.45,-5,5.12695,3.43117,24
-0.09,4.42,-2.56,5.15625,4.22297,24
3.94,-0.64,5.8,5.18555,5.01478,24
4.12,-6.31,8.18,5.17578,4.75084,24
2.23,-5.15,2.63,5.11719,3.16723,24
0.83,0.7,-1.89,5.07812,2.11149,24
1.13,-6.55,-1.4,5.07812,2.11149,24
-6.67,17.9,-5.06,5.04883,1.31968,24
0.95,-6.49,-0.48,5.07812,2.11149,24
0.52,-2.59,3.42,5.10742,2.90329,24
-0.76,-2.65,1.96,5.09766,2.63936,24
-3.75,3.81,-3.41,5.08789,2.37542,24
-4.42,10.89,-2.92,5.11719,3.16723,24
-0.58,-2.1,-1.58,5.0293,0.79181,24
1.62,0.7,6.53,5.08789,2.37542,24
1.86,0.34,1.77,5.09766,2.63936,24
2.29,-4.05,4.4,5.14648,3.95904,24
-2.04,12.84,-0.6,5.11719,3.16723,24
-1,7.6,-1.34,5.07812,2.11149,24
-1.61,5.83,-5.24,5.03906,1.05574,24
0.34,0.03,1.22,5.09766,2.63936,24
0.58,-3.26,8.48,5.08789,2.37542,24
2.11,-5.39,6.77,5.09766,2.63936,24
-1.49,9.3,-1.76,5.10742,2.90329,24
-3.5,9.18,-5.85,5.06836,1.84755,24
-1.25,6.5,-7.92,5.04883,1.31968,24
5.46,-6.73,6.16,5.11719,3.16723,24
1.5,-0.09,2.81,5.06836,1.84755,24
-0.27,0.46,0.55,5.05859,1.58361,24
5.09,2.11,9.46,5.07812,2.11149,24
-2.77,14.24,-0.12,5.05859,1.58361,24
