,x-axis,y-axis,z-axis,volatge,current
120,-2.43,10.38,-3.25,2382.812,-6334.459
121,2.63,-3.4,-1.48,2392.578,-5806.588
122,-0.48,-10.78,0.35,2373.047,-6862.331
123,-1.27,-4.99,-0.08,2446.289,-2903.294
124,-1.7,3.42,-3.37,2392.578,-5806.588
125,-0.66,5.44,2.79,2392.578,-5806.588
126,0.98,-5.97,1.81,2402.344,-5278.716
127,3.06,-4.32,-4.23,2446.289,-2903.294
128,-2.55,4.64,-2.09,2402.344,-5278.716
129,-0.72,7.94,1.32,2470.703,-1583.615
130,3.3,2.39,1.75,2382.812,-6334.459
131,1.84,-4.56,2.05,2402.344,-5278.716
132,-0.91,-5.11,-0.81,2460.937,-2111.487
133,-1.15,3.61,-1.91,2412.109,-4750.845
134,-2.37,7.08,2.85,2353.516,-7918.074
135,1.78,-5.23,0.9,2426.758,-3959.037
136,4.82,-10.3,-0.57,2504.883,263.936
137,-1.27,8.18,-5.63,2426.758,-3959.037
138,-1.58,3.06,-1.42,2426.758,-3959.037
139,2.69,2.51,1.26,2446.289,-2903.294
140,1.35,-6.21,2.66,2426.758,-3959.037
141,-2.07,-8.04,-1.24,2475.586,-1319.679
142,0.8,-1.76,0.9,2441.406,-3167.229
143,-1.46,8.42,2.48,2387.695,-6070.524
144,-0.11,-2.61,0.77,2426.758,-3959.037
145,3.6,-7.98,-3.25,2446.289,-2903.294
146,-0.24,4.22,-0.87,2397.461,-5542.652
147,-1.76,5.19,0.41,2382.812,-6334.459
148,3.24,0.01,2.3,2377.93,-6598.395
149,0.31,-1.51,-1,2416.992,-4486.909
150,-3.41,-1.76,-3.25,2392.578,-5806.588
151,0.5,10.68,-3.31,2465.82,-1847.551
152,-1.64,8.67,2.6,2397.461,-5542.652
153,-0.18,-3.04,1.81,2421.875,-4222.973
154,4.58,-13.65,-0.45,2470.703,-1583.615
155,-2.8,1.11,-3.07,2407.227,-5014.78
156,0.01,1.17,4.43,2495.117,-263.936
157,3.6,-7,6.75,2343.75,-8445.947
158,3.18,40.38,14.43,2451.172,-2639.358
159,-2.55,-5.84,1.93,2426.758,-3959.037
160,-1.76,2.02,-0.93,2465.82,-1847.551
161,-2.49,10.19,2.18,2387.695,-6070.524
162,4.09,-8.4,2.66,2480.469,-1055.743
163,1.84,-13.22,-1.18,2412.109,-4750.845
164,-0.66,-0.36,-2.28,2431.641,-3695.101
165,-2.8,5.38,0.47,2441.406,-3167.229
166,4.28,4.52,0.96,2397.461,-5542.652
167,-0.18,-4.38,1.69,2485.352,-791.807
168,-3.71,-11.33,-0.2,2436.523,-3431.166
169,0.19,-1.7,-1.97,2485.352,-791.807
170,-1.09,9.34,1.44,2480.469,-1055.743
171,0.37,2.94,1.32,2431.641,-3695.101
172,1.84,-7.92,-1,2451.172,-2639.358
173,-1.46,1.9,-0.57,2451.172,-2639.358
174,-1.7,14.52,-0.02,2441.406,-3167.229
175,4.64,5.62,-0.69,2421.875,-4222.973
176,1.17,-3.83,-1.06,2387.695,-6070.524
177,-3.1,-3.22,0.59,2431.641,-3695.101
178,0.37,2.51,-1.91,2431.641,-3695.101
179,-0.97,11.05,2.91,2460.937,-2111.487
180,-0.05,0.62,2.72,2490.234,-527.872
181,1.53,-12.37,0.53,2451.172,-2639.358
182,-2,-2.37,-2.03,2431.641,-3695.101
183,-0.85,6.78,-1.06,2485.352,-791.807
184,4.76,5.38,-1.42,2451.172,-2639.358
185,1.1,1.41,1.38,2480.469,-1055.743
186,-2.37,-8.65,-0.26,2475.586,-1319.679
187,-1.64,0.38,-3.98,2387.695,-6070.524
188,-1.52,10.68,1.63,2465.82,-1847.551
189,2.45,0.07,-1.06,2446.289,-2903.294
190,1.9,-7.25,0.04,2412.109,-4750.845
191,-5.3,-6.15,0.53,2426.758,-3959.037
192,-1.03,0.99,-3.31,2416.992,-4486.909
193,-1.58,12.51,2.36,2456.055,-2375.422
194,-0.24,0.56,2.72,2421.875,-4222.973
195,4.46,-14.32,-1.3,2485.352,-791.807
196,-2.49,-2.43,0.41,2465.82,-1847.551
197,-1.46,4.22,-0.14,2456.055,-2375.422
198,1.9,6.23,-0.63,2500,0
199,2.81,-3.53,1.38,2416.992,-4486.909
200,-1.94,-14.08,-1.06,2495.117,-263.936
201,-1.21,0.25,-1.54,2407.227,-5014.78
202,-3.22,11.29,3.27,2446.289,-2903.294
203,0.68,-0.36,3.82,2460.937,-2111.487
204,4.28,-7,-0.08,2500,0
205,-3.9,-0.3,0.1,2373.047,-6862.331
206,-1.64,1.6,-5.51,2431.641,-3695.101
207,-0.6,9.4,1.02,2377.93,-6598.395
208,-1.21,-3.47,0.65,2470.703,-1583.615
209,2.87,-15.66,1.2,2485.352,-791.807
210,-1.76,0.13,-3.25,2426.758,-3959.037
211,-2,5.68,-0.08,2524.414,1319.679
212,3.54,5.62,-1.18,2407.227,-5014.78
213,-1.15,-1.45,0.96,2456.055,-2375.422
214,-2.74,-14.62,-0.26,2392.578,-5806.588
215,-1.09,0.01,-2.82,2416.992,-4486.909
216,-3.83,7.94,-0.14,2490.234,-527.872
217,5.31,3.67,0.77,2397.461,-5542.652
218,2.87,-1.15,-0.32,2426.758,-3959.037
219,-4.08,-5.66,-1.48,2460.937,-2111.487
220,-1.4,1.53,-3.13,2436.523,-3431.166
221,-2,11.9,3.09,2446.289,-2903.294
222,0.43,-1.33,1.69,2446.289,-2903.294
223,4.28,-10.54,-0.81,2465.82,-1847.551
224,-2.61,-3.04,-2.52,2456.055,-2375.422
225,-3.29,2.57,2.18,2431.641,-3695.101
226,5.31,0.92,1.57,2460.937,-2111.487
227,1.9,1.66,2.05,2480.469,-1055.743
228,-2,-5.3,0.35,2397.461,-5542.652
229,-0.48,-0.6,-4.53,2460.937,-2111.487
230,-3.29,11.11,0.77,2500,0
231,-2.19,1.84,3.03,2451.172,-2639.358
232,1.96,-14.2,-1,2392.578,-5806.588
233,-2.37,-1.45,-1.42,2421.875,-4222.973
234,-2.37,0.86,-0.39,2392.578,-5806.588
235,3.91,1.17,0.71,2475.586,-1319.679
236,0.5,-1.64,2.72,2392.578,-5806.588
237,-0.72,-10.48,-0.69,2480.469,-1055.743
238,0.31,-4.2,-1.06,2416.992,-4486.909
239,-3.83,10.8,-0.63,2456.055,-2375.422
240,2.45,0.86,1.02,2412.109,-4750.845
241,3.3,-1.88,-1,2470.703,-1583.615
242,-3.22,-8.16,-2.21,2456.055,-2375.422
243,0.25,1.72,-3.74,2421.875,-4222.973
244,-2.8,8.91,0.83,2456.055,-2375.422
245,0.19,2.94,1.99,2490.234,-527.872
246,4.21,-6.88,-0.02,2490.234,-527.872
247,-4.26,-1.45,-0.87,2446.289,-2903.294
248,0.86,-3.53,-0.51,2460.937,-2111.487
249,-1.27,11.17,2.11,2451.172,-2639.358
250,1.17,-1.76,2.66,2416.992,-4486.909
251,2.87,-7.55,-5.26,2436.523,-3431.166
252,-0.97,-3.95,-1.42,2397.461,-5542.652
253,-1.21,2.2,-2.28,2451.172,-2639.358
254,1.65,11.47,2.91,2436.523,-3431.166
255,-0.42,-0.9,-0.02,2426.758,-3959.037
256,1.17,-12.86,-1.6,2436.523,-3431.166
257,-3.65,-0.23,-4.59,2426.758,-3959.037
258,-2.07,4.89,3.46,2421.875,-4222.973
259,4.21,3.42,-2.09,2431.641,-3695.101
260,0.13,-0.72,1.75,2397.461,-5542.652
261,-0.66,-10.66,-2.09,2470.703,-1583.615
262,-0.6,-2.25,-1.42,2451.172,-2639.358
263,-4.14,13.55,0.16,2480.469,-1055.743
264,0.31,-0.05,3.33,2387.695,-6070.524
265,3.18,-7.19,-5.2,2500,0
266,-2.55,-3.95,-3.68,2416.992,-4486.909
267,-4.2,3.18,-0.26,2456.055,-2375.422
268,2.81,0.13,1.87,2465.82,-1847.551
269,2.69,-2.92,-0.93,2407.227,-5014.78
270,-3.16,-4.99,-0.69,2475.586,-1319.679
271,-0.18,1.96,-1.67,2465.82,-1847.551
272,1.71,9.1,2.11,2504.883,263.936
273,-1.7,0.92,1.63,2426.758,-3959.037
274,-1.64,-16.82,-1.91,2465.82,-1847.551
275,-2.43,-4.81,-3.07,2382.812,-6334.459
276,-3.77,13.06,2.91,2485.352,-791.807
277,2.39,3.49,0.9,2382.812,-6334.459
278,4.95,-4.93,2.54,2456.055,-2375.422
279,-1.15,1.17,-3.86,2407.227,-5014.78
280,-2.8,3.61,-0.26,2436.523,-3431.166
281,3.24,5.07,-2.76,2490.234,-527.872
282,2.14,-0.6,3.64,2441.406,-3167.229
283,-4.08,-0.97,-3.31,2480.469,-1055.743
284,-0.48,2.39,1.2,2412.109,-4750.845
285,2.08,11.29,-1.36,2441.406,-3167.229
286,0.68,-2.49,4.25,2421.875,-4222.973
287,-2.43,-7.55,-2.28,2451.172,-2639.358
288,-1.33,-2.25,-0.39,2436.523,-3431.166
289,0.56,8.12,-0.02,2426.758,-3959.037
290,-0.54,1.41,0.04,2470.703,-1583.615
291,-1.03,-3.16,-4.1,2446.289,-2903.294
292,0.37,-2.8,0.35,2465.82,-1847.551
293,-0.48,14.77,4.49,2392.578,-5806.588
294,-0.05,-1.03,2.18,2470.703,-1583.615
295,0.8,-12.79,0.16,2412.109,-4750.845
296,-0.3,3.79,-1.48,2446.289,-2903.294
297,-3.16,11.78,3.88,2402.344,-5278.716
298,2.08,4.16,2.18,2495.117,-263.936
299,2.39,-3.1,1.2,2373.047,-6862.331
300,-2.13,-1.03,-1.67,2485.352,-791.807
301,-2.13,4.28,0.04,2353.516,-7918.074
302,3.24,3.06,0.59,2421.875,-4222.973
303,1.17,0.56,-1.54,2416.992,-4486.909
304,-2.61,0.74,-1.12,2402.344,-5278.716
305,-3.47,6.35,3.76,2470.703,-1583.615
306,3.18,1.72,-0.32,2373.047,-6862.331
307,0.56,-2.86,-2.28,2475.586,-1319.679
308,-2.68,-4.26,0.9,2426.758,-3959.037
309,-2.74,-2,-2.52,2465.82,-1847.551
310,5.86,4.4,-0.32,2421.875,-4222.973
311,3.12,4.03,0.47,2490.234,-527.872
312,-1.64,-8.59,-2.34,2470.703,-1583.615
313,-0.24,1.9,0.41,2446.289,-2903.294
314,0.07,10.92,4.55,2382.812,-6334.459
315,1.23,-1.21,1.5,2416.992,-4486.909
316,2.75,-17.25,-2.46,2480.469,-1055.743
317,2.69,0.25,-0.57,2416.992,-4486.909
318,-0.54,9.16,3.4,2485.352,-791.807
319,1.78,-1.39,6.75,2490.234,-527.872
320,1.41,-15.05,-1.85,2495.117,-263.936
321,-3.83,-0.6,-1.73,2431.641,-3695.101
322,-3.71,2.45,-1.67,2412.109,-4750.845
323,3.6,-4.5,-2.4,2470.703,-1583.615
324,3.79,-17,-6.12,2397.461,-5542.652
325,-3.41,-10.6,-1.91,2475.586,-1319.679
326,-2.74,5.31,-0.26,2412.109,-4750.845
327,2.32,2.51,-2.4,2465.82,-1847.551
328,1.53,-7.25,-6.54,2436.523,-3431.166
329,-4.08,2.94,-4.96,2500,0
330,-3.53,4.03,0.47,2416.992,-4486.909
331,1.47,-7.86,5.71,2456.055,-2375.422
332,-0.66,-13.71,1.32,2412.109,-4750.845
333,-3.35,0.25,-2.28,2460.937,-2111.487
334,-1.46,12.08,2.18,2397.461,-5542.652
335,5.07,-1.58,4.55,2421.875,-4222.973
336,1.47,-10.48,0.83,2451.172,-2639.358
337,-3.83,-4.01,-1.24,2397.461,-5542.652
338,-2.8,4.22,0.35,2485.352,-791.807
339,1.1,-2.49,4.74,2431.641,-3695.101
340,0.74,-4.2,1.14,2441.406,-3167.229
341,-0.66,-10.72,1.08,2519.531,1055.743
342,-1.88,1.17,-7.95,2460.937,-2111.487
343,-3.22,9.89,-1,2446.289,-2903.294
344,0.5,-2.55,2.91,2485.352,-791.807
345,1.41,-21.64,-0.57,2421.875,-4222.973
346,-4.02,-3.1,-3.74,2451.172,-2639.358
347,-2.13,9.46,3.15,2431.641,-3695.101
348,3.6,6.41,-0.39,2446.289,-2903.294
349,1.35,0.19,-1.97,2431.641,-3695.101
350,-4.2,-8.53,-3.74,2382.812,-6334.459
351,0.13,0.74,-1.3,2514.648,791.807
352,2.2,8,-1.67,2475.586,-1319.679
