0,1,2,3,4,5
-3.63,-1.02,0.06,4.95117,-1.31968,30.00
9.17,10.14,-1.10,4.93164,-1.84755,30.00
-5.64,-8.83,-2.87,4.94141,-1.58361,30.00
3.26,8.37,-1.53,4.95117,-1.31968,31.00
-5.70,-6.14,3.65,4.95117,-1.31968,31.00
6.12,3.61,0.79,4.92187,-2.11149,31.00
-1.31,-1.81,-2.93,4.92187,-2.11149,31.00
-1.74,0.14,1.03,4.95117,-1.31968,31.00
4.48,2.15,7.07,4.94141,-1.58361,28.00
-4.06,-7.48,0.67,4.90234,-2.63936,31.00
3.81,5.56,-2.26,4.96094,-1.05574,31.00
-2.29,-5.65,1.03,4.93164,-1.84755,31.00
3.01,7.70,-5.61,4.95117,-1.31968,29.00
-5.52,-7.24,0.24,4.93164,-1.84755,31.00
3.14,5.56,-3.42,4.92187,-2.11149,31.00
3.01,1.91,-1.59,4.93164,-1.84755,31.00
-7.17,-10.05,-3.42,4.97070,-0.79181,31.00
-1.74,3.98,-5.55,4.96094,-1.05574,31.00
-4.18,-6.69,1.95,4.91211,-2.37542,31.00
3.56,7.33,1.46,4.91211,-2.37542,31.00
1.80,-1.14,0.79,4.94141,-1.58361,31.00
-2.41,0.87,2.92,4.90234,-2.63936,31.00
8.32,10.69,2.68,4.94141,-1.58361,31.00
-5.83,-5.53,-3.48,4.94141,-1.58361,31.00
2.22,5.32,2.19,4.93164,-1.84755,31.00
1.55,-4.31,0.06,4.92187,-2.11149,31.00
-6.50,-5.41,-5.25,4.94141,-1.58361,31.00
5.94,4.59,4.69,4.94141,-1.58361,31.00
-3.81,-6.02,2.37,4.92187,-2.11149,31.00
2.59,2.45,-0.37,4.92187,-2.11149,31.00
-4.55,-6.14,1.40,4.95117,-1.31968,31.00
-2.35,-0.23,-1.35,4.92187,-2.11149,31.00
1.86,0.38,2.98,4.92187,-2.11149,31.00
-6.19,-9.44,-4.33,4.93164,-1.84755,31.00
2.71,6.85,-4.52,4.96094,-1.05574,31.00
-2.72,-8.76,2.50,5.01953,0.52787,31.00
0.27,5.44,1.46,4.94141,-1.58361,31.00
8.26,9.83,3.41,4.93164,-1.84755,31.00
-6.44,-8.40,1.21,4.93164,-1.84755,31.00
3.32,7.15,0.48,4.91211,-2.37542,31.00
7.83,2.45,-1.29,4.89258,-2.90329,31.00
-7.78,-8.83,-0.37,4.89258,-2.90329,31.00
4.30,8.13,-1.29,4.93164,-1.84755,31.00
-5.10,-4.37,4.14,4.91211,-2.37542,31.00
-6.07,-4.01,0.91,4.92187,-2.11149,31.00
4.60,0.75,0.79,4.90234,-2.63936,31.00
-5.46,-7.00,-0.49,4.89258,-2.90329,31.00
1.92,7.21,-3.36,4.95117,-1.31968,31.00
2.28,-2.67,-2.32,4.91211,-2.37542,32.00
-9.42,-9.19,-1.29,4.94141,-1.58361,32.00
5.94,9.28,-3.42,4.96094,-1.05574,32.00
-5.46,-3.28,-0.07,4.92187,-2.11149,32.00
1.49,5.44,-0.86,4.89258,-2.90329,32.00
8.50,4.77,-0.49,4.91211,-2.37542,32.00
-7.84,-3.64,-5.68,4.97070,-0.79181,32.00
